Call Type Number,Active,Send to Drone?,Additional Details (Formulir Detail),Customer Segment,Product,Sub Product,Case Category,Case Type Description,Sub-Description,List of Required Documents,Team Name,Agent SLA,Level 1 OLA,Level 1 Escalation Team,Level 2 OLA,Level 2 Escalation Team,Level 3 OLA,Level 3 Escalation Team,Level 4 OLA,Level 4 Escalation Team,Total SLA,Total OLA,Maker,Checker,Signer,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,external_id
1000,TRUE,FALSE,"nomor ponsel nasabah yang bisa dihubungi: 
ID CERIA:
NO HP yg terdaftar:
Alasan:",Individu Umum,Loans,KTA - Digital,Inquiry,Nasabah Menanyakan Informasi Pengajuan Terkait CERIA,"1. Cara, Syarat & Ketentuan
2. Status
3. Pembatalan","1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",T1 - Agent CCT/Frontliner,1.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000
1002,TRUE,FALSE,,Individu Umum,Loans,KTA - Digital,Products / Promotion Inquiry,Nasabah Menyakan Terkait Promo dan Program CERIA,,,,1.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002
1003,TRUE,FALSE,,Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Pelunasan Awal Cicilan CERIA,,,,1.0,2.0,CDD - Coll Card & Digital Lending-CERIA,2.0,DDB - Operational,,,,,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003
1005,TRUE,FALSE,"Nasabah mengajukan pemblokiran Sementara Akun Ceria
Nomor ID :
Alasan pemblokiran :

Mohon bantuan tindak lanjut
Terima kasih",Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Pemblokiran CERIA,,"1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",,1.0,1.0,CDD - Coll Card & Digital Lending-CERIA,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1005
1008,TRUE,FALSE,,Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Pengaktifan Akun Ceria Terblokir karena Fraud Detection System,,,,1.0,8.0,ORD - Fraud Management & Recovery Desk,,,,,,,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008
1009,TRUE,FALSE,"Nasabah Request Buka/Reales Blokir Akun Ceria
ID CERIA :
Limit CERIA yang diberikan :
Alasan pembukaan blokir:


Keterangan tambahan :

( Lampirkan dokumen yang dibutuhkan )",Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Pembukaan Blokir CERIA,,"1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",,1.0,2.0,DDB - Helpdesk,4.0,ORD - Fraud Management & Recovery Desk,2.0,DDB - Operational,,2,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009
1010,TRUE,FALSE,"ID CERIA:
Tanggal transaksi:
Lokasi transaksi ( nama merchant ):
Nominal:
Alasan pembatalan:
Keterangan tambahan:",Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Pembatalan Transaksi CERIA,,"1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",,1.0,6.0,DDB - Helpdesk,2.0,DDB - Operational,,,,,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010
1011,TRUE,FALSE,"Nasabah menanyakan Aplikasi CERIA tidak bisa digunakan untuk bertransaksi 
ID CERIA : 
No Hp yang terdaftar : 
Tanggal :
Nominal :
Merchant/lokasi :
Respon Transaksi : ",Individu Umum,Loans,KTA - Digital,Complaint - Transaction,Nasabah Komplain Gagal Transaksi CERIA,,"1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",,1.0,4.0,DDB - Helpdesk,2.0,DDB - Operational,,,,,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1011
1013,TRUE,FALSE,"Nasabah  mengajukan pengembalian Saldo Kredit
ID Ceria:
NO HP yang terdaftar : 
Alasan :
Nominal Limit saat ini : 
Nominal limit yang diberikan :
Selisih atau saldo Kredit : 
Nomor Rekening tujuan  :  nomor rekening ...
Atas nama : 

(Dokumen Screen capture atas saldo kredit)
Tolong bantuannya untuk tindak lanjut.",Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Pengembalian Dana (Refund) atas Pembayaran CERIA,,"1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",,1.0,3.0,DDB - Helpdesk,2.0,DDB - Operational,3.0,CDD - Business Operation Team - ITEM,,,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013
1014,TRUE,FALSE,"Laporan Komplain pengajuan Pinjaman tunai yang belum masuk ke rekening atau akun LinkAja
Nasabah melaporkan belum menerima dana tunai pada rekening:
Nomor rekening tujuan/No Hp yang terdaftar pada CERIA :
Nama pemilik rek tujuan :
Mohon bantuannya. Terima kasih
(membutuhkan dokumen screen capture pinjaman dana tunai dari aplikasi CERIA)",Individu Umum,Loans,KTA - Digital,Complaint - Transaction,Nasabah Komplain Pencairan Pinjaman Tunai CERIA Tidak Berhasil Masuk ke Rekening,,"1. ss home ceria
2. ss tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",,1.0,4.0,DDB - Helpdesk,3.0,DDB - Operational,,,,,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014
