No,Case Types,active,User Grouping_New,Segment,Product,Sub Product,Case Category,Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,Suggestion,Suggestion - Breakdown,Level of Effort,"Range of Days 
(Actual SLA)","Actual SLA
(days)","Target SLA 
(days)",BRI Notes,Team Name,T1 - Agent CCT/Frontliner,T2.1 - Supporting Unit,T2.2 - Supporting Unit,T3.1 - Product Owner,T4.1 - Technical Team,Total SLA,New SLA,Status,GIC,Maker,Checker,Signer,Courtesy Awal,Kebutuhan Data,Detail BRICare,Unnamed: 58,external_id
1,1000,TRUE,Resolution Center,Individu Umum,Loans,KTA - Digital,Inquiry,"CERIA - Status Pengajuan, Aplikasi, Cara & Syarat",Nasabah Menanyakan Informasi Pengajuan Terkait CERIA,1.0,"1. Cara, Syarat & Ketentuan
2. Status",,,Move to Resolution Center,Move to CCT,Low,3 ~ 5,4.0,1.0,"Sub: Cara, Syarat & Ketentuan; Status; Pembatalan, Add new call type: komplain (T3.1- DDB(Helpdesk) (2 days), T3.2 - DDB (OPS) (2 days))",T1 - Agent CCT/Frontliner,1,,,,,1,,Done,DCE,,,,1C,Credit & Digital Lending,"Information Cara pengajuan Ceria : 
Nasabah menanyakan Cara & Syarat pengajuan CERIA :                
Informasi di library : …………….                                
Sudah dijelaskan sesuai pertanyaan nasabah                                
nomor ponsel nasabah yang bisa dihubungi : 

Tanya status pengajuan Ceria : 
Nasabah menanyakan status pengajuan CERIA : 
Nomor Ponsel yang didaftarkan : 
Email yang didaftarkan : 
Nomor KTP : 
Nomor rekening BRI yang didaftarkan : 
Sudah infokan ...............         

Tanya PIN Ceria : 
Nasabah Menanyakan PIN CERIA
ID CERIA :
NO HP yg terdaftar : 
Alasan :  
Jika Butuh tindaklanjut membutuhkan screen Capture respon
                       ",,1000
2,1002,TRUE,Resolution Center,Individu Umum,Loans,KTA - Digital,Products / Promotion Inquiry,CERIA - Promo dan Program CERIA,Nasabah Menyakan Terkait Promo dan Program CERIA,,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,1.0,4.0,,T1 - Agent CCT/Frontliner,1,,,,,1,,Done,DCE,,,,1B,Credit & Digital Lending,xxx,,1002
3,1003,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Pelunasan Awal Cicilan,Nasabah Mengajukan Pelunasan Awal Cicilan CERIA,,,,,Move to Resolution Center,,Low,3 ~ 5,4.0,4.0,Ada kasus kalau case tunggak sama case ga tunggak,"T3.1 - CDD(CLL CERIA), T3.2 - DDB(OPS CERIA)",1,,,4,,5,4,Done,DCE,,,,1B,Credit & Digital Lending,xxx,,1003
4,1005,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Blokir,Nasabah Mengajukan Pemblokiran CERIA,,,,,Move to Resolution Center,Move to CCT,Medium,6 ~ 10,8.0,2.0,Menunggu mendapatkan akses dari DDB,T3.1 - CDD(CLL CERIA),1,,,1,,2,1,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah mengajukan pemblokiran Sementara Akun Ceria
 Nomor ID :
 Alasan pemblokiran :
 
 Mohon bantuan tindak lanjut
 Terima kasih",,1005
5,1006,TRUE,Operational Risk,Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Pengaktifan Akun Ceria Terblokir ,Nasabah Mengajukan Pengaktifan Akun Ceria Terblokir karena Fraud Detection System,,,1,"1. Screen Shot home ceria
2. Surat Pernyataan (template oleh agent)
3. selfie ktp 2 sisi
4. ktp",No Change,,Medium,6 ~ 10,6.0,6.0,Done,T3.1 - ORD(FBI),1,,,8,,9,8,Done,DCE,,,,1B,Credit & Digital Lending,"Nasabah Request Buka/Release Blokir Akun Ceria FDS                                                
ID CERIA :                                                 
Limit CERIA yang diberikan :                                                 
Transaksi Terakhir:
Nomor yang menghubungi: Terdaftar/Tidak Terdaftar                                               
                                                
                                                
Keterangan tambahan   :                         (Copy keterangan block FDS)                        
                                                
( Lampirkan dokumen yang dibutuhkan )        ",,1006
6,1009,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Buka Blokir R CERIA,Nasabah Mengajukan Pembukaan Blokir CERIA,,,1,"1. Screen Shot home ceria
2. Surat Pernyataan (template oleh agent)
3. selfie ktp 2 sisi
4. ktp",Move to Resolution Center,,Medium,6 ~ 10,7.0,20.0,To be discussed with ORD,"T3.1 - DDB(Helpdesk), T3.2 - ORD(FBI), T3.3 - DDB(OPS CERIA)",1,,,8,,9,8,Partially Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah Request Buka/Reales Blokir Akun Ceria
 ID CERIA :
 Limit CERIA yang diberikan :
 Alasan pembukaan blokir:
 Nomor yang menghubungi: Terdaftar/Tidak Terdaftar
 
 
 Keterangan tambahan :
 
 ( Lampirkan dokumen yang dibutuhkan )",,1009
7,1010,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Pembatalan Transaksi,Nasabah Mengajukan Pembatalan Transaksi CERIA,,,1,"1. Screen Shot home ceria
2. Screen Shot transaksi gagal/pembatalan ceria
3. Screen Shot transaksi dibatalkan merchant 
",No Change,,Medium,6 ~ 10,6.0,8.0,,"T3.1 - DDB(Helpdesk), T3.2- DDB(OPS CERIA)",1,,,8,,9,8,Done,DCE,,,,1C,Credit & Digital Lending,"ID CERIA
 Tanggal transaksi
 Lokasi transaksi ( nama merchant )
 Nominal 
 Alasan pembatalan
 Keterangan tambahan",,1010
8,1011,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Gagal Transaksi CERIA,Nasabah Komplain Gagal Transaksi CERIA,,,1,"1. Screen Shot transaksi gagal ceria 
",No Change,,Medium,6 ~ 10,6.0,19.0,,"T3.1 - DDB(Helpdesk), T3.2- DDB(OPS CERIA)",1,,,6,,7,6,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah menanyakan Aplikasi CERIA tidak bisa digunakan untuk bertransaksi 
 ID CERIA : 
 No Hp yang terdaftar : 
 Tanggal :
 Nominal :
 Merchant/lokasi :
 Respon Transaksi : 
 ",,1011
9,1013,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Refund,Nasabah Mengajukan Pengembalian Dana (Refund) atas Pembayaran CERIA,,,1,"1. Screen Shot home ceria
2. Screen Shot bukti pembayaran ceria ",No Change,,Medium,6 ~ 10,6.0,20.0,Team Name CDD perlu dikonfirmasi ulang,"T3.1 - DDB(Helpdesk), T3.2- DDB(OPS CERIA), T3.3 - CDD(OPE ITEM)",1,,,8,,9,8,Done,DCE,,,,1C,Credit & Digital Lending,"Nasabah mengajukan pengembalian Saldo Kredit
 ID Ceria:
 NO HP yang terdaftar : 
 Alasan :
 Nominal Limit saat ini : 
 Nominal limit yang diberikan :
 Selisih atau saldo Kredit : 
 Nomor Rekening tujuan : nomor rekening ...
 Atas nama : 
 
 (Dokumen Screen capture atas saldo kredit)
 Tolong bantuannya untuk tindak lanjut.",,1013
1,1014,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Pinjaman Tunai (pencairan tidak berhasil masuk ke tabungan),Nasabah Komplain Pencairan Pinjaman Tunai CERIA Tidak Berhasil Masuk ke Rekening,,,1,"1. Screen Shot gagal pinjaman tunai ceria 
2. Screen Shot pengurangan limit ceria",No Change,,Medium,6 ~ 10,7.0,20.0,Informasi pencairan dapat menggunakan Call Type 1000,"T3.1 - DDB(Helpdesk), T3.2 - DDB(OPS CERIA)",1,,,7,,8,7,Done,DCE,,,,1C,Credit & Digital Lending,"Laporan Komplain pengajuan Pinjaman tunai yang belum masuk ke rekening
 Nasabah melaporkan belum menerima dana tunai pada rekening:
 Nomor rekening tujuan:
 No Hp yang terdaftar pada CERIA :
 Nama pemilik rek tujuan :
 Mohon bantuannya. Terima kasih
 (membutuhkan dokumen screen capture pinjaman dana tunai dari aplikasi CERIA)
 ",,1014
