No,Case Types,Active,User Grouping_New,Segment,Product,Sub Product,Case Category,Old Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,Agent SCC,Eskalasi Team 1 Full,Eskalasi Team 2 Full,Eskalasi Team 3 Full,Eskalasi Team 4 Full,Agent CCT/Frontliner,OLA Eskalasi team 1,OLA Eskalasi team 2,OLA Eskalasi team 3,OLA Eskalasi team 4,Total SLA,New SLA,Detail BRICare,external_id,Unnamed: 28
1,1000,TRUE,Resolution Center,Individu Umum,Loans,KTA - Digital,Inquiry,"CERIA - Status Pengajuan, Aplikasi, Cara & Syarat",Nasabah Menanyakan Informasi Pengajuan Terkait CERIA,1.0,"1. Cara, Syarat & Ketentuan
2. Status",0.0,,Agent CCT/Frontliner,,,,,1.0,,,,,1,0,"Information Cara pengajuan Ceria : 
Nasabah menanyakan Cara & Syarat pengajuan CERIA :                
Informasi di library : …………….                                
Sudah dijelaskan sesuai pertanyaan nasabah                                
nomor ponsel nasabah yang bisa dihubungi : 

Tanya status pengajuan Ceria : 
Nasabah menanyakan status pengajuan CERIA : 
Nomor Ponsel yang didaftarkan : 
Email yang didaftarkan : 
Nomor KTP : 
Nomor rekening BRI yang didaftarkan : 
Sudah infokan ...............         

Tanya PIN Ceria : 
Nasabah Menanyakan PIN CERIA
ID CERIA :
NO HP yg terdaftar : 
Alasan :  
Jika Butuh tindaklanjut membutuhkan screen Capture respon
                       ",1000,1.0
2,1002,TRUE,Resolution Center,Individu Umum,Loans,KTA - Digital,Products / Promotion Inquiry,CERIA - Promo dan Program CERIA,Nasabah Menyakan Terkait Promo dan Program CERIA,0.0,,0.0,,Agent CCT/Frontliner,,,,,1.0,,,,,1,0,xxx,1002,
3,1003,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Pelunasan Awal Cicilan,Nasabah Mengajukan Pelunasan Awal Cicilan CERIA,0.0,,0.0,,Agent CCT/Frontliner,CDD - Coll Card & Digital Lending-CERIA,DDB - Operational - CERIA,,,1.0,2.0,2.0,,,5,4,xxx,1003,
4,1005,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Blokir,Nasabah Mengajukan Pemblokiran CERIA,0.0,,0.0,,Agent CCT/Frontliner,CDD - Coll Card & Digital Lending-CERIA,,,,1.0,1.0,,,,2,1,"Nasabah mengajukan pemblokiran Sementara Akun Ceria
 Nomor ID :
 Alasan pemblokiran :
 
 Mohon bantuan tindak lanjut
 Terima kasih",1005,
5,1006,TRUE,Operational Risk,Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Pengaktifan Akun Ceria Terblokir ,Nasabah Mengajukan Pengaktifan Akun Ceria Terblokir karena Fraud Detection System,0.0,,1.0,"1. Screen Shot Home Ceria
2. Surat Pernyataan 
3. Selfie KTP 2 Sisi
4. KTP",Agent CCT/Frontliner,ORD - Fraud Management & Recovery Desk,,,,1.0,8.0,,,,9,8,"Nasabah Request Buka/Release Blokir Akun Ceria FDS                                                
ID CERIA :                                                 
Limit CERIA yang diberikan :                                                 
Transaksi Terakhir:
Nomor yang menghubungi: Terdaftar/Tidak Terdaftar                                               
                                                
                                                
Keterangan tambahan   :                         (Copy keterangan block FDS)                        
                                                
( Lampirkan dokumen yang dibutuhkan )        ",1006,
6,1009,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Buka Blokir R CERIA,Nasabah Mengajukan Pembukaan Blokir CERIA,0.0,,1.0,"1. Screen Shot Home Ceria
2. Surat Pernyataan 
3. Selfie KTP 2 Sisi
4. KTP",Agent CCT/Frontliner,DDB - Helpdesk,ORD - Fraud Management & Recovery Desk,DDB - Operational - CERIA,,1.0,2.0,4.0,2.0,,9,8,"Nasabah Request Buka/Reales Blokir Akun Ceria
 ID CERIA :
 Limit CERIA yang diberikan :
 Alasan pembukaan blokir:
 Nomor yang menghubungi: Terdaftar/Tidak Terdaftar
 
 
 Keterangan tambahan :
 
 ( Lampirkan dokumen yang dibutuhkan )",1009,
7,1010,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Pembatalan Transaksi,Nasabah Mengajukan Pembatalan Transaksi CERIA,0.0,,1.0,"1. Screen Shot Home Ceria
2. Screen Shot Transaksi Gagal/Pembatalan Ceria
3. Screen Shot Transaksi Dibatalkan Merchant 
",Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,,,1.0,6.0,2.0,,,9,8,"ID CERIA
 Tanggal transaksi
 Lokasi transaksi ( nama merchant )
 Nominal 
 Alasan pembatalan
 Keterangan tambahan",1010,
8,1011,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Gagal Transaksi CERIA,Nasabah Komplain Gagal Transaksi CERIA,0.0,,1.0,"1. Screen Shot Transaksi Gagal Ceria 
",Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,,,1.0,4.0,2.0,,,7,6,"Nasabah menanyakan Aplikasi CERIA tidak bisa digunakan untuk bertransaksi 
 ID CERIA : 
 No Hp yang terdaftar : 
 Tanggal :
 Nominal :
 Merchant/lokasi :
 Respon Transaksi : 
 ",1011,
9,1013,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Refund,Nasabah Mengajukan Pengembalian Dana (Refund) atas Pembayaran CERIA,0.0,,1.0,"1. Screen Shot Home Ceria
2. Screen Shot Bukti Pembayaran Ceria ",Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,CDD - Business Operation Team - ITEM,,1.0,3.0,2.0,3.0,,9,8,"Nasabah mengajukan pengembalian Saldo Kredit
 ID Ceria:
 NO HP yang terdaftar : 
 Alasan :
 Nominal Limit saat ini : 
 Nominal limit yang diberikan :
 Selisih atau saldo Kredit : 
 Nomor Rekening tujuan : nomor rekening ...
 Atas nama : 
 
 (Dokumen Screen capture atas saldo kredit)
 Tolong bantuannya untuk tindak lanjut.",1013,
10,1014,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Pinjaman Tunai (pencairan tidak berhasil masuk ke tabungan),Nasabah Komplain Pencairan Pinjaman Tunai CERIA Tidak Berhasil Masuk ke Rekening,0.0,,1.0,"1. Screen Shot Gagal Pinjaman Tunai Ceria 
2. Screen Shot Pengurangan Limit Ceria",Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,,,1.0,4.0,3.0,,,8,7,"Laporan Komplain pengajuan Pinjaman tunai yang belum masuk ke rekening
 Nasabah melaporkan belum menerima dana tunai pada rekening:
 Nomor rekening tujuan:
 No Hp yang terdaftar pada CERIA :
 Nama pemilik rek tujuan :
 Mohon bantuannya. Terima kasih
 (membutuhkan dokumen screen capture pinjaman dana tunai dari aplikasi CERIA)
 ",1014,
11,1015,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Pembayaran Tagihan belum masuk,Nasabah Komplain Pembayaran Tagihan CERIA Melalui BRIVA Tidak Berhasil ,0.0,,1.0,"1. Screen Shot Bukti Pembayaran Briva
2. Screen Shot Tagihan Ceria 
3. Selfie KTP 2 Sisi
4. KTP",Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,,,1.0,4.0,2.0,,,7,6,"Nasabah melakukan pembayaran tagihan Akun CERIA
 Tagihan bulan : … ( b/s cycle )
 Tanggal : …
 Nominal : Rp. …
 Kode BRIVA :
 Melalui : ( sms banking, terminal ATM, phone banking, teller )
 Dokumen yang dibutuhkan : bukti transaksi & Screen Capture aplikasi
 ID CERIA :
 NO Hp yang didaftarkan :
 
 Tolong bantuannya untuk tindak lanjut. 
 Terima kasih.",1015,
12,1016,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Komplain Autodebet,Nasabah Komplain Gagal Autodebet Pembayaran Tagihan CERIA,0.0,,1.0,"1. Screenshot Bukti Pembayaran Tagihan
2. Screen Shot Halaman Tagihan Ceria
",Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,,,1.0,3.0,2.0,,,6,5,"Nasabah mengajukan complain autodebet ( tidak didebet/ terdebet …. Kali )
 ID CERIA : 
 NO HP yang terdaftar : 
 Nomer Rekening :
 Atas Nama :
 Nominal yang di debet : 
 Saldo rekening saat ini : (Cek Via Agent Leader)
 Nominal saldo yang sudah dihold : (Cek Via Agent Leader)
 
 Catat informasi dari nasabah (saldo tersedia/tidak)
 Mohon ditindaklanjuti terima kasih
 
 Note : 
 Pastikan saldo rekening tersedia dan mencukupi (termasuk saldo minimum rekening Rp50.000,-)",1016,
13,1017,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Penutupan & Pembatalan Akun CERIA,Nasabah Mengajukan Penutupan & Pembatalan Akun CERIA,0.0,,1.0,"1. Screen Shot Home Ceria
2. KTP",Agent CCT/Frontliner,DDB - Helpdesk,CDD - Clf-1 Credit Card Init - DATAM,,,1.0,4.0,3.0,,,8,7,"Alasan pembatalan/penutupan aplikasi :
apakah sudah mendapatkan limit:
apakah masih ada tagihan atau cicilan yang sedang berjalan:",1017,
14,1018,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,Nasabah Komplain Pembayaran Tagihan Ceria,Nasabah Komplain Gagal Autodebet Manual CERIA,0.0,,1.0,"1. Screen Shot Tagihan Ceria
2. Screen Shot Bukti Pembayaran",Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,,,1.0,3.0,2.0,,,6,5,"Nasabah melakukan pembayaran tagihan Akun CERIA				Tagihan bulan      : … ( b/s cycle )					
Tanggal            : …						
Nominal            : Rp. …						
Dokumen yang dibutuhkan : bukti transaksi pembayaran & Screen Capture tagihan					
ID CERIA :						
NO Hp yang didaftarkan :
No rekening :						
						
Tolong bantuannya untuk tindak lanjut. 						
Terima kasih.				",1018,
15,1020,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Perubahan Data Nasabah,Nasabah Mengajukan Perubahan Data Nomor Rekening CERIA,0.0,,1.0,"1. Buku Tabungan Tampak Depan
2. KTP
3. Surat Pernyataan",Agent CCT/Frontliner,DDB - Helpdesk,CDD - Clf-1 Credit Card Init - DATAM,,,1.0,3.0,5.0,,,9,8,"Nasabah mengajukan pergantian Nomor rekening auto debet CERIA
 Dari (rekening lama) :
 Menjadi (rekening baru) : 
 Alasan :
 Alamat email untuk kirim dokumen :
 Tolong bantuannya untuk tindak lanjut. 
 Dokumen yang dibutuhkan : 
 (Buku tabungan tampak depan, Foto KTP nasabah, Surat pernyataan)
 
 Mohon bantuannya. Terima kasih.",1020,
16,1024,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Billing Statement (komplain terkait issue billing statement),Nasabah Mengajukan Permintaan Billing Statement CERIA,0.0,,0.0,,Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,,,1.0,2.0,2.0,,,5,4,"Nasabah menanyakan:
 Billing statement / Informasi Tagihan :
 Status Pembayaran:
 Sisa limit: 
 Fee: 
 Bunga: 
 Late charge / akurasi jumlah tagihan :
 (Sudah informasikan cara pengecekan Billing Statement melalui aplikasi CERIA)",1024,
17,1025,TRUE,Resolution Center,Individu Umum,Loans,KTA - Digital,Inquiry,CERIA - Kenaikan Limit,Nasabah Menanyakan Informasi Kenaikan Limit CERIA,0.0,,0.0,,Agent CCT/Frontliner,,,,,1.0,,,,,1,0,xxx,1025,
18,1027,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Surat Lunas Kolektibilitas,Nasabah Mengajukan Surat Keterangan Lunas Kolektibilitas produk CERIA,0.0,,1.0,"1. Surat Pernyataan
2. Screen Shot Tagihan Ceria ",Agent CCT/Frontliner,CDD - Coll Card & Digital Lending-CERIA,,,,1.0,8.0,,,,9,8,"Nasabah meminta surat Kolektabilitas lancar :
 ID CERIA :
 NO HP yang terdaftar :
 Alasan pengajuan :
 (dokumen surat pernyataan dan Screen Capture info tagihan dari aplikasi CERIA)
 Mohon Bantuan untuk tindaklanjut",1027,
19,1028,TRUE,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,"CERIA - Permintaan Keringanan Bayar, Penjadwalan Ulang Tagihan",Nasabah Mengajukan Keringanan Bayar CERIA,1.0,"1. Reschedule
2. Pelunasan Dengan Discount",1.0,"1. Screen Shot Kolekbilitas Tidak Lancar
2. Screen Shot Tagihan Ceria
3. Surat Permohonan Keringanan Bayar
4. KTP Nasabah/Ahli Waris",Agent CCT/Frontliner,CDD - Coll Card & Digital Lending-CERIA,DDB - Operational - CERIA,,,1.0,7.0,3.0,,,11,10,"Nasabah mengajukan keringan pembayaran/Penjadwalan Ulang Tagihan (reschedule)
 ID CERIA :
 NO Hp yg didaftarkan:
 Alasan :
 Nasabah masih aktif bekerja/tidak :
 Keterangan alamat kantor/rumah/nomor telpon yang baru :
 
 Dokumen yang akan dikirimkan :
 Surat permohonan nasabah dan/ atau penanggung atau ahli waris,
 Fotocopy KTP Nasabah dan atau penanggung atau ahli waris,
 tagihan yang lain (jika dibutuhkan)
 screen capture yang menunjukkan kolektibilitas tidak lancar pada aplikasi CERIA",1028,
20,1036,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,"CERIA - Penghapusan bunga, denda keterlambatan dll","Nasabah Mengajukan Penghapusan Bunga, Denda Keterlambatan produk CERIA",0.0,,0.0,,Agent CCT/Frontliner,CDD - Coll Card & Digital Lending-CERIA,,,,1.0,8.0,,,,9,8,"Nasabah mengajukan Penghapusan: denda keterlambatan / bunga
 ID CERIA :
 NO HP yg terdaftar :
 Tagihan bulan : ( b/s cycle )
 Nominal : Rp . …
 Alasan pengajuan : ...
 Keterangan tambahan: ( jika tidak ada, field ini dikosongkan )
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.",1036,
21,1038,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Fraud / Suspicious Transactions,CERIA - Komplain Transaksi Tidak Diakui,Nasabah Melaporkan Sanggahan Transaksi CERIA,0.0,,1.0,"1. Selfie KTP 2 Sisi
2. KTP
3. Surat Sanggahan",Agent CCT/Frontliner,DDB - Helpdesk,ORD - Fraud Management & Recovery Desk,"CDD - Auth,Chrgbck & UserCo - CHARGEBACK",,1.0,3.0,2.0,2.0,,8,7,"Nasabah melaporkan tidak merasa melakukan transaksi pada akun CERIA 
Nominal transaksi :        
Nama Merchant :                                                         
Tanggal transaksi :                                                         
No Hp nasabah :                                                         
ID CERIA :                                                                 
Keterangan tambahan :                                                         
Copy mutasi transaksi dari CLOS                                                
(Sarankan kirim dokumen : Surat pernyataan, Foto KTP, Foto KTP & Selfie)        ",1038,
22,1100,TRUE,Resolution Center,Individu Umum,Loans,Kartu Kredit,Inquiry,"Status Pengajuan Aplikasi, Cara & Syarat [Sanggahan pengajuan kartu kredit]",Nasabah Menanyakan Pengajuan Terkait Produk Kartu Kredit,1.0,"1. Cara, Syarat & Ketentuan
2. Status
3. Pembatalan",0.0,,Agent CCT/Frontliner,,,,,1.0,,,,,1,0,"Nasabah menanyakan syarat dan ketentuan mengajukan kartu kredit BRI, sudah dijelaskan mengenai …
 (diisi sesuai dengan penjelasan yang diberikan)
 
 rilis
 Nasabah menanyakan status aplikasi kartu kredit.
 Sudah di infokan oleh CSR status kartu kredit yang dimaksud.
 Copy dari LOS.",1100,
23,1101,TRUE,Operational Risk,Individu Umum,Loans,Kartu Kredit,Fraud / Suspicious Transactions,Sanggahan Pengajuan Kartu Kredit,Nasabah Melaporkan Sanggahan Kepemilikan Kartu Kredit,0.0,,1.0,"1. Surat Pernyataan Nasabah
2. KTP
3. Selfie KTP 2 Sisi
4. Surat Keterangan Bekerja Aktif",Agent CCT/Frontliner,ORD - Fraud Management & Recovery Desk,,,,1.0,10.0,,,,11,10,"Nasabah melaporkan tidak merasa pengajuan/memiliki/menggunakan kartu kredit BRI
 Nasabah melaporkan tidak merasa pengajuan/memiliki/menggunakan kartu kredit BRI
 namun cek cardlink/LOS sudah ada pengajuan/memiliki/tagihan kartu kredit BRI
 Informasi data nasabah :
 Nama Lengkap :
 Tanggal Lahir :
 Nomor KTP :
 Alamat rumah :
 Nomo kartu kredit yang terdaftar :
 Nomor Hp yang aktif :
 Copy Cur Ball dan 24 month profile dari PCHI
 (sudah sarankan kirim dokumen : KTP, selfi dg ktp, surat pernyataan kronologis, surat keterangan bekerja masih aktif)",1101,
24,1201,TRUE,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Non-Transaction,Komplain aplikasi Kartu Kredit Co Branding (pengajuan kartu kredit),Nasabah Komplain Pengajuan Aplikasi Kartu Kredit Co-Branding,0.0,,0.0,,Agent CCT/Frontliner,CDD - Business Partnership Team - PRN,,,,1.0,10.0,,,,11,10,"Sudah ada hasil status pengajuan kartu kredit Co Branding di LOS :
 
 Nasabah menanyakan status pengajuan aplikasi kartu kredit
 Pengajuan melalui apa:
 Pengajuan ditanggal berapa:
 Nomor KTP:
 Nomor Ponsel yang didaftarkan:
 Sudah infokan hasil pengajuan ( infokan sesuai LOS )
 ( Copy paste hasil pengecekan LOS )
 
 
 Complain kendala pada saat pengajuan Kartu Co Branding :
 Nasabah Complain tidak dapat pengajuan Co Branding :
 Jenis kartu Co Branding :
 Alasan :
 Respon yang muncul di aplikasi :
 Digital Sign : ( terima / tidak terima )
 Alamat email :
 No Hp yang terdaftar di aplikasi :
 Keterangan tambahan :",1201,
