No,Case Types,active,User Grouping_New,Segment,Product,Sub Product,Case Category,Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,BRI Notes,Team Name,T1 - Agent CCT/Frontliner,T2.1 - Supporting Unit,T2.2 - Supporting Unit,T3.1 - Product Owner,T4.1 - Technical Team,Total SLA,New SLA,Status,GIC,Maker,Checker,Signer,Courtesy Awal,Kebutuhan Data,Jenis Produk dan atau Layanan LKPBU,Kategori Permasalahan LKPBU,Jenis Transaksi LKPBU,Penyebab Pengaduan LKPBU,Jenis Produk LBUT,Sandi Jenis  Produk LBUT,Sebab Pengaduan LBUT,Sandi Penyebab LBUT,Detail BRICare,external_id
22.0,1100,True,Resolution Center,"Individu Umum, Individu Priority & Private",Loans,Kartu Kredit,Inquiry,"Status Pengajuan Aplikasi, Cara & Syarat [Sanggahan pengajuan kartu kredit]",Nasabah Menanyakan Pengajuan Terkait Produk Kartu Kredit,1.0,"1. Cara, Syarat & Ketentuan
2. Status
3. Pembatalan",,,"Sub: Cara, Syarat & Ketentuan, Status, Pembatalan",T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,Done,KKD-AKK-ACQPR,,,,1A,Credit & Digital Lending,,,,,,,,,"Nasabah menanyakan syarat dan ketentuan mengajukan kartu kredit BRI, sudah dijelaskan mengenai …
 (diisi sesuai dengan penjelasan yang diberikan)
 
 rilis
 Nasabah menanyakan status aplikasi kartu kredit.
 Sudah di infokan oleh CSR status kartu kredit yang dimaksud.
 Copy dari LOS.",1100
24.0,1201,True,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Non-Transaction,Komplain aplikasi Kartu Kredit Co Branding (pengajuan kartu kredit),Nasabah Komplain Pengajuan Aplikasi Kartu Kredit Co-Branding,,,,,,T3.1 - CDD(MPP PRN),1.0,,,1.0,,11.0,1.0,Done,KKD-MPP-PRN,,,,1B,Credit & Digital Lending,,,,,,,,,"Sudah ada hasil status pengajuan kartu kredit Co Branding di LOS :
 
 Nasabah menanyakan status pengajuan aplikasi kartu kredit
 Pengajuan melalui apa:
 Pengajuan ditanggal berapa:
 Nomor KTP:
 Nomor Ponsel yang didaftarkan:
 Sudah infokan hasil pengajuan ( infokan sesuai LOS )
 ( Copy paste hasil pengecekan LOS )
 
 
 Complain kendala pada saat pengajuan Kartu Co Branding :
 Nasabah Complain tidak dapat pengajuan Co Branding :
 Jenis kartu Co Branding :
 Alasan :
 Respon yang muncul di aplikasi :
 Digital Sign : ( terima / tidak terima )
 Alamat email :
 No Hp yang terdaftar di aplikasi :
 Keterangan tambahan :",1201
29.0,1211,True,Resolution Center,"Individu Umum, Individu Priority & Private",Loans,Kartu Kredit,Request,Program Internal Telesales (agent inbound to outbond),Nasabah Mengajukan Cicilan Kartu Kredit Melalui Telesales,1.0,"1. Transaksi >7 Hari
2. Pengajuan Loan on Phone",,,"Sub: Transaksi >7 Hari, Pengajuan Loan on Phone",T2.1 - Telesales,1.0,1.0,,,,2.0,1.0,Done,LCC-CCTTELE,,,,1B,Credit & Digital Lending,,,,,,,,,"Nasabah ingin mengikuti program .....
 Nomor telp yang bisa dihubungi : ....
 
 Mohon bantuan tindak lanjut. Terima kasih.
 
 Copy Month Profile PCHI",1211
35.0,1708,True,"Card, Digital Lending & Assset","Individu Umum, Individu Priority & Private",Loans,Kartu Kredit,Request,"Permintaan Pelunasan Awal Cicilan (Refund Merchant, Dobel Cicilan, Error Cicilan)",Nasabah Mengajukan Pembatalan Cicilan Terhadap Transaksi Kartu Kredit,1.0,"1. Refund Merchant
2. Dobel Cicilan
3. Error Cicilan",,,"Sub: Refund Merchant, Dobel Cicilan, Error Cicilan","T3.1 - CDD(OPE MSU), T3.2 - CDD(ACU OTO)",1.0,,,5.0,,6.0,5.0,Done,KKD-OPS-MSU,,,,1B,Credit & Digital Lending,,,,,,,,,"Nasabah mengajukan pelunasan awal cicilan Belanja Ringan untuk transaksi
 
 Nama Merchant :
 Tanggal Transaksi :
 Nominal Transaksi :
 Tenor :
 Bunga :
 Kode Approval Cicilan :
 Cicilan per-bulan :
 Alasan Preterminated :
 Nominal refund :
 Sisa Cicilan :
 Pinalti :
 Sisa bunga yang belum tertagih :
 Koreksi Biaya admin :
 Koreksi bunga yang sudah tertagih :
 
 
 Syarat dan ketentuan yang berlaku disetujui oleh nasabah.
 
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.
 copy month profile PCHI",1708
36.0,1709,True,"Card, Digital Lending & Assset","Individu Umum, Individu Priority & Private",Loans,Kartu Kredit,Request,Permintaan Pelunasan Awal Cicilan (Request Pemegang Kartu),Nasabah Mengajukan Pelunasan Awal Cicilan,,,1,"1. surat pernyataan
2. ktp
3. kartu kredit",,"T3.1 - CDD(OPE MSU), T3.2 - CDD(ACU OTO)",1.0,,,6.0,,7.0,6.0,Done,KKD-OPS-MSU,,,,1C,Credit & Digital Lending,,,,,,,,,"Nasabah mengajukan pelunasan awal cicilan Belanja Ringan untuk transaksi
 
 Nama Merchant :
 Tanggal Transaksi :
 Nominal Transaksi :
 Tenor :
 Bunga :
 Kode Approval Cicilan :
 Cicilan per-bulan :
 Alasan Preterminated :
 Nominal refund :
 Sisa Cicilan :
 Pinalti :
 Sisa bunga yang belum tertagih :
 Koreksi Biaya admin :
 Koreksi bunga yang sudah tertagih :
 
 
 Syarat dan ketentuan yang berlaku disetujui oleh nasabah.
 
 Tolong bantuannya untuk tindak lanjut.
 Terima kasih.
 copy month profile PCHI",1709
131.0,7979,True,Resolution Center,Korporasi,Savings,Giro (CA),Inquiry,Nasabah Inti Kerjasama,Nasabah Inti Kerjasama (NIK) Menanyakan Informasi Pengunaan Cash Card,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,Done,LCC-CCTNIK,,,,1A,Regular Banking,,,,,,,,,,7979
139.0,8105,True,Resolution Center,Individu Umum,Investment,SBN (Bonds),Products / Promotion Inquiry,"TRUSTEE, KUSTODIAN, ORI, SUBSIDIARIES","Nasabah Menanyakan Cara, Syarat & Ketentuan Terkait Produk Investasi (Kustodian, ORI, Subsidiaries)",,,,,"Sub: Breakdown by Investment Product, Potential to generate leads",T2.1- CRS,1.0,1.0,,,,2.0,1.0,Done,LCC-CCTNIK,,,,1B,Regular Banking,,,,,,,,,"Nasabah komplain mengenai rekening investment ( DPLK, TRUSTEE, KUSTODIAN, ORI, SUBSIDIARIES)",8105
14.0,8106,True,Investment Service,Individu Umum,Investment,DPLK (Pension Fund),Complaint - Transaction,DPLK Dana Pensiun Lembaga Keuangan (complain terkait DPLK),Nasabah Komplain Terkait Dana Pensiun Lembaga Keuangan (DPLK),1.0,"1. Claim DPLK Belum Terbayarkan
2. Progress Perubahan Jenis Investasi
3. Penarikan Sebagian Belum Terbayarkan
4. Dana Pengalihan Masuk/Keluar Belum Berhasil
5. Iuran DPLK Belum Masuk ke Rekening DPLK
6. Pengiriman Ulang Portfolio/E-Statement DPLK
7. Bukti potong pajak pembayaran DPLK",,,,T3.1 - INV(DPLK),1.0,,,9.0,,1.0,9.0,Done,DIS-DPLK,,,,1B,Regular Banking,,,,,,,,,"Peserta menanyakan Status DPLK/Saldo DPLK/Nomor Kartu DPLK
 Atau pengecekan status Pencairan DPLK atau Syarat pengajuan Pencairan Saldo DPLK
 (Hapus yang tidak diperlukan)
 Nomor Kartu :
 Nomor CIF :
 Nama :
 Tgl Lahir :
 (Copy Informasi yang tercantum pada aplikasi SI DPLK)",8106
163.0,8226,True,Resolution Center,"Individu Umum, Individu Priority & Private",Transaction Banking,Transaction Solution,Complaint - Transaction,BRIfast Remittance - Transfer Internasional (Gagal Transfer International namun saldo tetap berkurang),Nasabah Komplain Gagal Transfer International (BRIFast Remmitance),1.0,"1. Selisih Kurs Refund
2. Dana tidak diterima di rekening tujuan
3. Salah Transfer",,,"Sub: Selisih Kurs Refund, Dana tidak diterima di rekening tujuan, Salah Transfer Note: Butuh konfirmasi dgn POD terkait penggunaan DiO. TBC","T2.1 - CRS , Include POD(RSP), Include POD(ORC)",1.0,3.0,,,,4.0,3.0,Done,LCC-CRC,,,,1B,Regular Banking,,,,,,,,,"Nasabah Komplain Gagal Transaksi Transfer Internasional namun tidak mendebet / sudah ada pengembalian ke rekening nasabah.
 
 Sudah sarankan agar dapat melakukan transaksi kembali
 
 Nasabah Komplain Gagal Transaksi Transfer Internasional namun saldo berkurang
 Asal Negara :
 Nama Bank :
 Nominal Transaksi:
 Tanggal Transaksi:
 Waktu Transaksi:
 Nama Pemilik:
 Nomor Rekening Tujuan:
 Jalur Pengiriman : ............ ( SWIFT / Western Union )
 Iban/ Swift code:
 Nomor Referensi Transaksi:
 Respon yang muncul saat transaksi:
 Keterangan :
 
 Mohon bantuan tindak lanjut
 Terima kasih",8226
179.0,8418,True,Operational Risk,Individu Umum,Servicing,Transaction Solution,Fraud / Suspicious Transactions,sanggahan transaksi/tidak merasa bertransaksi (dengan kartu ),Nasabah Melaporkan Sanggahan Transaksi Kartu Debit,1.0,"1. Indikasi adanya fraud internal
2. Non Fraud Internal",,,Sub: indikasi adanya fraud internal,T2.1 - ORD(FBI),1.0,1.0,,,,11.0,1.0,Partially Done,LCC-FBI,,,,1B,Regular Banking,,,,,,,,,"Nasabah melaporkan Sanggahan Transaksi/Tidak Merasa Bertransaksi Dengan Kartu Debit.
 Mengetahui transaksi melalui : …… (SMS/ WA/email notifikasi/mutasi rekening)
 Saat terjadi transaksi Nasabah berada di : …… ( lokasi )
 Nominal Transaksi yang disanggah Rp……,-
 Sebanyak : …(kali )
 Tanggal : …
 Transaksi yang disanggah :
 Nama pemilik rekening tujuan : … (jika transaksi yang disanggah adalah transfer)
 No rekening tujuan : …
 Kartu dipegang nasabah : Ya/tidak
 Sudah jelaskan jenis transaksi yang disanggah
 
 (Copy transaksi yang dilaporkan dari CHS Settle Complain)",8418
