No,Case Types,Active,User Grouping_New,Segment,Product,Sub Product,Case Category,Old Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,Agent SCC,Eskalasi Team 1 Full,Eskalasi Team 2 Full,Eskalasi Team 3 Full,Eskalasi Team 4 Full,Agent CCT/Frontliner,OLA Eskalasi team 1,OLA Eskalasi team 2,OLA Eskalasi team 3,OLA Eskalasi team 4,Total SLA,New SLA,New SLA.1,Unnamed: 27,Detail BRICare,external_id
1.0,1000,True,Resolution Center,Individu Umum,Loans,KTA - Digital,Inquiry,"CERIA - Status Pengajuan, Aplikasi, Cara & Syarat",Nasabah Menanyakan Informasi Pengajuan Terkait CERIA,1.0,"1. Cara, Syarat & Ketentuan
2. Status",0.0,,Agent CCT/Frontliner,,,,,1.0,,,,,1,0.0,0.0,match,"Information Cara pengajuan Ceria : 
Nasabah menanyakan Cara & Syarat pengajuan CERIA :                
Informasi di library : …………….                                
Sudah dijelaskan sesuai pertanyaan nasabah                                
nomor ponsel nasabah yang bisa dihubungi : 

Tanya status pengajuan Ceria : 
Nasabah menanyakan status pengajuan CERIA : 
Nomor Ponsel yang didaftarkan : 
Email yang didaftarkan : 
Nomor KTP : 
Nomor rekening BRI yang didaftarkan : 
Sudah infokan ...............         

Tanya PIN Ceria : 
Nasabah Menanyakan PIN CERIA
ID CERIA :
NO HP yg terdaftar : 
Alasan :  
Jika Butuh tindaklanjut membutuhkan screen Capture respon
                       ",1000
2.0,1002,True,Resolution Center,Individu Umum,Loans,KTA - Digital,Products / Promotion Inquiry,CERIA - Promo dan Program CERIA,Nasabah Menyakan Terkait Promo dan Program CERIA,0.0,,0.0,,Agent CCT/Frontliner,,,,,1.0,,,,,1,0.0,0.0,match,xxx,1002
3.0,1003,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Pelunasan Awal Cicilan,Nasabah Mengajukan Pelunasan Awal Cicilan CERIA,0.0,,0.0,,Agent CCT/Frontliner,CDD - Coll Card & Digital Lending-CERIA,DDB - Operational - CERIA,,,1.0,2.0,2.0,,,5,4.0,4.0,match,xxx,1003
4.0,1005,True,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Blokir,Nasabah Mengajukan Pemblokiran CERIA,0.0,,0.0,,Agent CCT/Frontliner,CDD - Coll Card & Digital Lending-CERIA,,,,1.0,1.0,,,,2,1.0,1.0,match,"Nasabah mengajukan pemblokiran Sementara Akun Ceria
 Nomor ID :
 Alasan pemblokiran :
 
 Mohon bantuan tindak lanjut
 Terima kasih",1005
5.0,1006,True,Operational Risk,Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Pengaktifan Akun Ceria Terblokir ,Nasabah Mengajukan Pengaktifan Akun Ceria Terblokir karena Fraud Detection System,0.0,,1.0,"1. Screen Shot Home Ceria
2. Surat Pernyataan 
3. Selfie KTP 2 Sisi
4. KTP",Agent CCT/Frontliner,ORD - Fraud Management & Recovery Desk,,,,1.0,8.0,,,,9,8.0,8.0,match,"Nasabah Request Buka/Release Blokir Akun Ceria FDS                                                
ID CERIA :                                                 
Limit CERIA yang diberikan :                                                 
Transaksi Terakhir:
Nomor yang menghubungi: Terdaftar/Tidak Terdaftar                                               
                                                
                                                
Keterangan tambahan   :                         (Copy keterangan block FDS)                        
                                                
( Lampirkan dokumen yang dibutuhkan )        ",1006
6.0,1009,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Buka Blokir R CERIA,Nasabah Mengajukan Pembukaan Blokir CERIA,0.0,,1.0,"1. Screen Shot Home Ceria
2. Surat Pernyataan 
3. Selfie KTP 2 Sisi
4. KTP",Agent CCT/Frontliner,DDB - Helpdesk,ORD - Fraud Management & Recovery Desk,DDB - Operational - CERIA,,1.0,2.0,4.0,2.0,,9,8.0,8.0,match,"Nasabah Request Buka/Reales Blokir Akun Ceria
 ID CERIA :
 Limit CERIA yang diberikan :
 Alasan pembukaan blokir:
 Nomor yang menghubungi: Terdaftar/Tidak Terdaftar
 
 
 Keterangan tambahan :
 
 ( Lampirkan dokumen yang dibutuhkan )",1009
7.0,1010,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Pembatalan Transaksi,Nasabah Mengajukan Pembatalan Transaksi CERIA,0.0,,1.0,"1. Screen Shot Home Ceria
2. Screen Shot Transaksi Gagal/Pembatalan Ceria
3. Screen Shot Transaksi Dibatalkan Merchant 
",Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,,,1.0,6.0,2.0,,,9,8.0,8.0,match,"ID CERIA
 Tanggal transaksi
 Lokasi transaksi ( nama merchant )
 Nominal 
 Alasan pembatalan
 Keterangan tambahan",1010
8.0,1011,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Gagal Transaksi CERIA,Nasabah Komplain Gagal Transaksi CERIA,0.0,,1.0,"1. Screen Shot Transaksi Gagal Ceria 
",Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,,,1.0,4.0,2.0,,,7,6.0,6.0,match,"Nasabah menanyakan Aplikasi CERIA tidak bisa digunakan untuk bertransaksi 
 ID CERIA : 
 No Hp yang terdaftar : 
 Tanggal :
 Nominal :
 Merchant/lokasi :
 Respon Transaksi : 
 ",1011
9.0,1013,True,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Refund,Nasabah Mengajukan Pengembalian Dana (Refund) atas Pembayaran CERIA,0.0,,1.0,"1. Screen Shot Home Ceria
2. Screen Shot Bukti Pembayaran Ceria ",Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,CDD - Business Operation Team - ITEM,,1.0,3.0,2.0,3.0,,9,8.0,8.0,match,"Nasabah mengajukan pengembalian Saldo Kredit
 ID Ceria:
 NO HP yang terdaftar : 
 Alasan :
 Nominal Limit saat ini : 
 Nominal limit yang diberikan :
 Selisih atau saldo Kredit : 
 Nomor Rekening tujuan : nomor rekening ...
 Atas nama : 
 
 (Dokumen Screen capture atas saldo kredit)
 Tolong bantuannya untuk tindak lanjut.",1013
10.0,1014,True,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Pinjaman Tunai (pencairan tidak berhasil masuk ke tabungan),Nasabah Komplain Pencairan Pinjaman Tunai CERIA Tidak Berhasil Masuk ke Rekening,0.0,,1.0,"1. Screen Shot Gagal Pinjaman Tunai Ceria 
2. Screen Shot Pengurangan Limit Ceria",Agent CCT/Frontliner,DDB - Helpdesk,DDB - Operational - CERIA,,,1.0,4.0,3.0,,,8,7.0,7.0,match,"Laporan Komplain pengajuan Pinjaman tunai yang belum masuk ke rekening
 Nasabah melaporkan belum menerima dana tunai pada rekening:
 Nomor rekening tujuan:
 No Hp yang terdaftar pada CERIA :
 Nama pemilik rek tujuan :
 Mohon bantuannya. Terima kasih
 (membutuhkan dokumen screen capture pinjaman dana tunai dari aplikasi CERIA)
 ",1014
