No,Case Types,active,User Grouping_New,Segment,Product,Sub Product,Case Category,Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,Suggestion,Suggestion - Breakdown,Level of Effort,"Range of Days 
(Actual SLA)","Actual SLA
(days)","Target SLA 
(days)",BRI Notes,Team Name,T1 - Agent CCT/Frontliner,T2.1 - Supporting Unit,T2.2 - Supporting Unit,T3.1 - Product Owner,T4.1 - Technical Team,Total SLA,New SLA,Status,GIC,Maker,Checker,Signer,Courtesy Awal,Kebutuhan Data,Detail BRICare,Unnamed: 58,external_id,Cleaned Team Name,Level 1 Escalation Team,Level 2 Escalation Team,Level 3 Escalation Team,Level 4 Escalation Team
1.0,1035,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Perhitungan Bunga Kartu Kredit,CERIA - Permintaan Perhitungan Bunga Kartu Kredit,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1035,T1-CCT/Frontliner,,,,
2.0,7999,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Lainnya,Lainnya,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,7999,T1-CCT/Frontliner,,,,
3.0,9000,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,BRI Syariah,BRI Syariah,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,9000,T1-CCT/Frontliner,,,,
4.0,8638,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Nasabah Bank Lain luar Negri Gagal Transaksi QRIS Saldo Terdebet (Cross Boarder),Nasabah Bank Lain luar Negri Gagal Transaksi QRIS Saldo Terdebet (Cross Boarder),,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8638,T1-CCT/Frontliner,,,,
5.0,1037,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,"CERIA - Komplain Biaya,Bunga, dan Biaya Keterlambatan","CERIA - Komplain Biaya,Bunga, dan Biaya Keterlambatan",,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1037,T1-CCT/Frontliner,,,,
6.0,1730,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Informasi jumlah poin KK,Informasi jumlah poin KK,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1730,T1-CCT/Frontliner,,,,
7.0,8927,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Artikel Media Cetak - terkait Pembayaran,Artikel Media Cetak - terkait Pembayaran,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8927,T1-CCT/Frontliner,,,,
8.0,1032,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,CERIA - Blok C & D,CERIA - Blok C & D,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,1032,T1-CCT/Frontliner,,,,
9.0,8954,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Mitra UMI,Mitra UMI,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8954,T1-CCT/Frontliner,,,,
10.0,9700,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,REQ DISPUTE RETAIL TRX,REQ DISPUTE RETAIL TRX,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,9700,T1-CCT/Frontliner,,,,
11.0,8000,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Bansos - Req Kartu ATM,Bansos - Req Kartu ATM,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,8000,T1-CCT/Frontliner,,,,
12.0,3201,False,Resolution Center,Individu Umum,Loans,KTA - Digital,Request,Permintaan Penutupan Kartu Kredit Anti Attrition,Permintaan Penutupan Kartu Kredit Anti Attrition,,,,,,,,,,,,T1 - Agent CCT/Frontliner,1.0,,,,,1.0,,,,,,,,,,,3201,T1-CCT/Frontliner,,,,
