title,modified_time,jenis_produk,produk,varian_produk,nama_knowledge,isi_knowledge
Simpanan - Giro - Giro BRI Valas - Syarat Pembukaan,2024-03-27 15:49:54,Simpanan,Giro,Giro BRI Valas,Syarat Pembukaan,"1. Dokumen 
a. PERORANGAN : KTP/Paspor, NPWP (Apabila Nasabah tidakmemiliki NPWP,dapat mengisi Form Pernyataan yang terdapat di Unit Kerja BRI)
b. NON PERORANGAN : AD/ART, Ijin Usaha, NPWP, Dokumen Identitas Pengurus, Surat Kuasa

2. Setoran Awal Minimal
USD 1.000
EUR 1.000
SGD 1.000
AUD 2.000
GBP 1.000
HKD 10.000
JPY 150.000
CNY 6.500
SAR 1.000
AED 1.000

3. Ratas Saldo Minimum
USD 1.000
EUR 1.000
SGD 1.000
AUD 2.000
GBP 1.000
HKD 5.000
JPY 50.000
CNY 3.500
SAR 3.000
AED 4.000"
Simpanan - Tabungan - Simpedes (Simpedes Umum) - Definisi,2024-03-27 15:49:54,Simpanan,Tabungan,Simpedes (Simpedes Umum),Definisi,Tabungan Simpedes adalah Simpanan masyarakat dalam bentuk tabungan dengan mata uang Rupiah yang dapat dilayani di KC/KCP/BRI Unit/Kantor Kas/Teras BRI yang penyetoran dan pengambilannya tidak dibatasi baik frekuensi maupun jumlahnya sepanjang memenuhi aturan yang berlaku.
Simpanan - Tabungan - Simpedes Bisa - Syarat Pembukaan,2024-03-27 15:49:54,Simpanan,Tabungan,Simpedes Bisa,Syarat Pembukaan,"1. Warga Negara Indonesia
2. Usia Minimum 17 Tahun
3. Dokumen e-KTP & NPWP (opsional)
4. Memiliki e-mail aktif
5. Setoran awal minimum Rp 50.000
6. Channel pembukaan Kantor BRI & BRImo"
Simpanan - Tabungan - Simpedes UMi - Fitur,2024-03-27 15:49:54,Simpanan,Tabungan,Simpedes UMi,Fitur,"1. Buku Tabungan: Simpedes UMi
2. Kartu Debit Simpedes GPN
3. BRImo
4. Senyum Mobile
5. Periode dormant: 180 hari"
Simpanan - Tabungan - Britama (Umum) - Fitur,2024-03-27 15:49:54,Simpanan,Tabungan,Britama (Umum),Fitur,"1. Kemudahan Akses (Melalui Beragam Channel)
2. BRImo
3. Aksesbilitas Kartu (Dapat Digunakan di Seluruh Dunia Melalui Jaringan) Master Card
4. Asuransi kecelakaan hingga 250% dari saldo rekening hingga maksimum Rp 150 juta per rekening
5. Transfer Real-Time antar bank unlimited
6. Diikutkan dalam program BritAma Festival"
Simpanan - Tabungan - Tabungan BRI Junio - Syarat Pembukaan,2024-03-27 15:49:54,Simpanan,Tabungan,Tabungan BRI Junio,Syarat Pembukaan,"< 12 tahun ( type VA ) 
12 tahun  s/d 17 tahun ( type VO )

IDENTITAS ORANG TUA/WALI
WNI : KTP
WNA : Paspor dan
KIMS/KITAS/KITAP
NPWP orang tua/wali
FC Kartu Keluarga/Akta Kelahiran Anak"
Simpanan - Deposito - Depo BRI Rupiah - Definisi,2024-03-27 15:49:54,Simpanan,Deposito,Depo BRI Rupiah,Definisi,Deposito BRI adalah simpanan berjangka yang penarikannya hanya dapat dilakukan pada jangka waktu tertentu dengan memberikan bunga yang menarik dan beragam keuntungan lainnya.
Simpanan - Deposito - Deposito On Call Rupiah - Definisi,2024-03-27 15:49:54,Simpanan,Deposito,Deposito On Call Rupiah,Definisi,Produk Deposito BRI yang dibuka dangan jangka waktu mulai dari 1 hari sampai dengan maksimal 29 hari sesuai perjanjian
Investasi - Investasi - Junio Rencana - Bunga,2024-03-27 15:49:54,Investasi,Investasi,Junio Rencana,Bunga,"2,50%"
Bancassurance - Bancassurance - Davestera - Biaya,2024-03-27 15:49:54,Bancassurance,Bancassurance,Davestera,Biaya,"Ketentuan Minimum Premi :
Cara Bayar

1. Tahunan 
Premi Total Berkala	: 3.000.000
Premi Dasar Berkala : 2.400.000	
Premi Top Up Berkala : 600.000

2. Semesteran 
Premi Total Berkala	: 1.500.000
Premi Dasar Berkala : 1.200.000	
Premi Top Up Berkala : 300.000

3. Triwulanan 
Premi Total Berkala	: 750.000	
Premi Dasar Berkala : 600.000
Premi Top Up Berkala : 150.000

4. Bulanan 
Premi Total Berkala	: 250.000	
Premi Dasar Berkala : 200.000
Premi Top Up Berkala : 50.000

Ketentuan Alokasi biaya investasi dari jumlah premi yang dibayarkan :

1. Tahun Polis Ke- 1
Prosentase Biaya dari Premi Dasar Berkala : 80%
Prosentase Premi Dasar Berkala untuk Alokasi Investasi : 20%

2. Tahun Polis Ke- 2
Prosentase Biaya dari Premi Dasar Berkala :	19%
Prosentase Premi Dasar Berkala untuk Alokasi Investasi : 81%

3. Tahun Polis Ke- ≥ 3
Prosentase Biaya dari Premi Dasar Berkala :	-
Prosentase Premi Dasar Berkala untuk Alokasi Investasi : 100%"
Bancassurance - Bancassurance - Davespro - Syarat Pembukaan,2024-03-27 15:49:54,Bancassurance,Bancassurance,Davespro,Syarat Pembukaan,"Entry Age : 
- 18-65 y.o (The Insured)
- 21-85 y.o (Policyholder)

Insuranced Period : 5 Years
Saving Period : 1 Years
Currency : IDR
Guaranteed Return : 3,638%

Single Premuim : 
- Min Rp 100.000.000
- Max Rp 5.000.000.000

Sales Quota : Rp 500.000.000.000
Sum Insured : 100% Single Premium (max 5 Bio)
Surrender Charge : 7% Singel Premium 
Fee Based : 0,50%
Underwriting : GIO"
Bancassurance - Bancassurance - Davestera Optima Syariah - Definisi,2024-03-27 15:49:54,Bancassurance,Bancassurance,Davestera Optima Syariah,Definisi,"Asuransi Unit Link dengan pembayaran Kontribusi Tunggal yang dapat memberikan perlindungan
optimal dengan pilihan manfaat tambahan yang dapat disesuaikan dengan kebutuhan"
