title,modified_time,nama_program,deskripsi,benefit,syarat_dan_ketentuan,start,end
KREDIT USAHA RAKYAT (KUR) 2024,2024-03-27 15:38:27,KREDIT USAHA RAKYAT (KUR) 2024,KUR merupakan pembiayaan kepada individu dan/atau kelompok usaha yang PRODUKTIF dan LAYAK namun belum memiliki agunan tambahan atau agunan tambahan belum cukup (unbankable).,,"1. Memiliki usaha yang LAYAK namun AGUNAN TAMBAHAN BELUM MENCUKUPI                 
2. Bertujuan untuk menambah MODAL KERJA atau INVESTASI (misal: menambah alat produksi, perluasan usaha)
3. Calon debitur KUR BRI adalah DEBITUR KUR BRI (EXISTING) ATAU Calon debitur BELUM PERNAH MENERIMA KREDIT/PEMBIAYAAN SELAIN KPR, KKB (Kredit atau leasing kendaraan bermotor roda dua untuk tujuan produktif), Kredit dengan jaminan SK Pensiun, Kartu Kredit , Resi Gudang dengan kolektibilitas Lancar, Kredit konsumsi untuk keperluan rumah tangga dari bank maupun Lembaga Keuangan non-bank sesuai dengan definisi pada peraturan perundang-undangan.
4. Sektor usaha yang dibiayai: PERTANIAN, PERIKANAN, INDUSTRI PENGOLAHAN, KONSTRUKSI, PERTAMBANGAN GARAM RAKYAT, PARIWISATA, JASA, & PERDAGANGAN
5. Calon Debitur bukan merupakan Aparatur Sipil Negara (ASN), Tentara Nasional Indonesia (TNI), dan Kepolisian Negara Republik Indonesia (POLRI).
6. Agunan Tambahan:
a.KUR s.d Rp.100 juta tidak diberlakukan ( Bank tidak boleh menerima/meminta agunan tambahan ke debitur KUR )
b. KUR > Rp.100 Juta sesuai kebijakan / penilaian penyalur (Bank)
7. Akumulasi Akad dan Plafond
a. KUR Super Mikro tidak dibatasi akumulasi plafond dan jumlah akad
b. KUR Mikro Sektor Produksi 4P (Pertanian, Perikanan, Peternakan, Perkebunan) maksimal 4 kali
c. KUR Mikro Selain Sektor Produksi 4P (Pertanian, Perikanan, Peternakan, Perkebunan) maksimal 2 kali.
d. Akumulasi Plafond KUR Kecil Rp.500 Juta.",2024-01-01 00:00:00,2024-12-31 00:00:00
BRILiaN Bright Scholarship Program (BBSP),2024-03-27 15:38:27,BRILiaN Bright Scholarship Program (BBSP),Program pendidikan bagi Pekerja Tetap BRI untuk menempuh pendidikan ke Strata Dua (S2) di Luar negeri yang dibiayai oleh Perusahaan.,"1. Tuition fee
Berupa tunjangan pembiayaan semesteran selama aktif menjadi mahasiswa
2. Living Allowance
Berupa pemberian uang saku bulanan untuk masing masing penerima beasiswa
3. Pembinaan Komperhensif
Penerima beasiswa bright akan mendapat bimbingan langsung untuk peningkatan kapasitas keilmuan dan bersosial
4. Pemberdayaan Masyarakat
Pembinaan langsung untuk melakukan pengabdian di lingkungan masyarakat
5. Fasilitas Asrama
Penerima manfaat beasiswa bright scholarship mendapatkan tunjangan tempat tinggal asrama
6. Jaringan nasional dan internasional
Penerima beasiswa bright akan mendapatkan networking ke alumni penrima bright scholarship","1. Pendidikan terakhir Sarjana / Strata 1.
2. Pekerja Tetap BRI dengan minimal Corporate Band 5 / Corporate Title Assistant Manager.
3. Usia Pekerja maksimal 35 Tahun (belum berulang tahun ke-36 pada saat pendaftaran.
4. Direkomendasi oleh atasan, yaitu rekomendasi yang diberikan oleh pemimpin Unit Kerja tertinggi untuk pekerja di bawah binaannya, contohnya
5. Division Head (untuk pekerja di Kantor Pusat / Divisi yang bersangkutan). Rekomendasi disampaikan berupa Surat / Nota Dinas kepada Divisi HCD melalui DIO.
6. Dalam 3 (tiga) tahun terakhir tidak dikenakan Hukuman Disiplin atau tidak sedang dalam indikasi kasus / masa penundaan promosi akibat Hukuman Disiplin telah berakhir.
7.Tidak memiliki Tunggakan Kewajiban (Denda Ikatan Dinas, Pitung, Briguna, Kartu Kredit, dan Koperasi baik pekerja itu sendiri dan/atau kewajiban suami/istri di BRI, termasuk tunggakan kewajiban di Instansi lain).
8. Keikutsertaan dalam seleksi Program Pascasarjana (S-2) Luar Negeri Biaya Dinas BRI maksimal 2 (dua) kali, terhitung dari diberlakukannya ketentuan Surat Direksi No B.1542
9.Menyampaikan TOEFL IBT minimal Score 80 / IELTS Academic minimal score 6.5 / Letter of Acceptance (LoA) dari lembaga Pendidikan dan Disiplin Ilmu / Program Studi / Bidang Konsentrasi yang dibutuhkan Perusahaan, dengan melampirkan Bukti Dokumen.
10. Masa Kerja Efektif (MKE) minimal 3 tahun sejak diangkat sebagai Pekerja Tetap.
11. Bersedia menjalani ikatan dinas 3N+1 (N = masa pendidikan terhitung sejak tanggal keberangkatan).
12. Predikat SMK 2 (dua) tahun terakhir minimal ""Baik"" dan ""Sangat Baik"".
13. Menyampaikan Motivation Letter, yang berisi tentang motivasi mengikuti program serta komitmen kembali ke Perusahaan dan rencana kontribusi pada Perusahaan setelah pasca studi (Min 300, Max 500 kata).
14. BBSP dan BBSP Plus, Ikatan Dinas 3N + 1 ( N = Lama Pendidikan), Jika Pekerja mengundurkan diri dalam masa ikatan dinas besar penggantian sesuai dengan besar semua biaya yang telah dikeluarkan perusahaan mulai dari masa persiapan sampai dengan selesai sekolah.
15. Periode: Melihat kebutuan Perusahaan",,
BRILiaN Society Elite Member,2024-03-27 15:38:27,BRILiaN Society Elite Member,"Program pengembangan khusus yang dirancang untuk para Top Talent BRI yang tergabung dalam BRILiaN Society Member (BSM), dalam mempersiapkan diri untuk bertindak pada peran Leader yang lebih kompleks.","Pendidikan BRILiaN Society Elite Program (BSEP) disetarakan dengan pendidikan BRILiaN Leader Development Program (BLDP), sehingga pekerja yang dinyatakan lulus dalam pendidikan BRILiaN Society Elite Program (BSEP) tidak perlu mengikuti pendidikan BRILiaN Leader Development Program (BLDP) yang dipersyaratkan pada Corporate Band pekerja yang bersangkutan.","Persyaratan Peserta BSEP
1. Peserta BRILiaN Society Elite Program (BSEP) adalah BSM Band 1 (dengan Corporate Title setingkat Executive Vice President dan Senior Vice President) dan BSM Band 2 (dengan Corporate Title setingkat Vice President).
2. Pekerja tidak dalam indikasi kasus",,
Program Insentif Merchant,2024-03-27 15:38:27,Program Insentif Merchant,Program insentif bagi merchant BRI tidak aktif dengan pendekatan approaching outbond call divisi SCC.,"Reward : 0,5 % x sales volume atau maks. Rp125.000/bulan","1. Kriteria Merchant : Merchant yang tidak aktif bertransaksi menggunakan EDC BRI lebih dari 3 bulan
2. Min. Sales Volume : mencapai minimal Rp15 Juta atau lebih
3. Reward akan dikreditkan ke rekening merchant pada bulan berikutnya",2024-01-01 00:00:00,2024-03-31 00:00:00
BRIguna Pra Purna,2024-06-15 00:42:56,BRIguna Pra Purna,"Program BRIguna Pra Purna
Program pemasaran thematic BRIguna dalam rangka meningkatkan portofolio OS dan Debitur Briguna Pra Purna.",Periode Program : 1 April s/d 30 Juni 2024,"1. Kategori Calon Debitur/Debitur, diatur dengan penjelasan sebagai berikut :
a. ASN
b. TNI
c. Polri

2. Suku Bunga
a. Segmen : Baru, Take Over dan Suplesi
b. Jangka Waktu : s/d 15 Tahun
c. Rate : 12.00%

3. Biaya Provisi dan Administrasi Khusus
a. Biaya Provisi Take Over Baru : 0.5% x Plafond
b. Biaya Provisi Take Over Suplesi : 0.75% X Plafond
c. Biaya Administrasi Take Over s/d 200 Juta : Rp. 100.000
d. Biaya Administrasi >200 s/d 500 Juta : Rp. 200.000
e. Biaya Administrasi >500 Juta : RP. 300.000",2024-06-15 00:00:00,2024-06-30 00:00:00
BRIguna Purna PP BRI,2024-06-15 03:18:37,BRIguna Purna PP BRI,"Program BRIguna Purna PP BRI
Program Briguna Khusus kepada para pensiunan BRI Selindo.",Periode Program : 1 April s/d 31 Desember 2024,"1. Kategori Calon Debitur/Debitur, diatur dengan penjelasan sebagai berikut :
a. Pensiunan Pegawai BRI (PP BRI)

2. Suku Bunga Kredit
a. Segmen Take Over, Baru, Suplesi
b. Jangka Waktu : s/d 15 tahun
c. Suku Bunga Kredit 9.00%

3. Biaya Provisi dan Administrasi Khusus
a. Biaya Profisi Take Over/Baru 0.75% x Plafond
b. Biaya Profisi Suplesi 0.75% x Plafond
c. Biaya Administrasi All : Free",2024-06-15 00:00:00,2024-12-31 00:00:00
BRING,2024-03-27 15:38:27,BRING,"Belanja banyak dengan Kartu Kredit BRI bayarnya tetap ringan dengan program BRING
Transaksi online ataupun offline melalui EDC merchant manapun dapat diubah menjadi cicilan
Lebih ringan bayarnya, lebih nyata manfaatnya","1. Bunga rendah, mulai dari 0% 
2. Tenor maks. 36 bulan
3. Biaya administrasi dikenakan 1% atau minimal mulai dari Rp. 50.000,- (Lima puluh ribu rupiah)
4. Min. transaksi yang dapat diajukan mulai dari Rp3.000.000","Ketentuan Umum
1. Program berlaku bagi seluruh Pemegang Kartu Kredit BRI (kecuali Corporate Card).
2. Proses pengajuan konversi maksimal 7 hari kalender setelah tanggal transaksi.
3. Minimal transaksi yang dapat dikonversi adalah sebesar Rp 3.000.000,- (Tiga juta rupiah) 
4. Merupakan transaksi ritel baik online maupun melalui EDC merchant.
5. Permohonan program hanya dapat dilakukan oleh Pemegang Kartu Utama (basic).
6. Skema program cicilan di atas akan berlaku untuk pengajuan konversi cicilan melalui aplikasi BRI CC Mobile
7. Menu Fitur Cicilan kartu co-branding di dashboard aplikasi partner kartu kredit co-branding, dan pengajuan nasabah melalui contact center.
8. Perubahan cicilan hanya berlaku untuk transaksi belanja dan online (tidak berlaku untuk tarik tunai)
9. Untuk permintaan cicilan tapi sudah lebih dari 7 hari tanggal transaksi dan transaksi masih belum dibukukan (Sreen PCTD), maka dibuatkan laporan calltype 1211
""Mohon maaf Bapak/Ibu (nama),  karena transaksi yang ingin diajukan cicilan sudah melebihi 7 hari dari tanggal transaksi, untuk pengajuan cicilan Bapak/Ibu akan dihubungi dalam waktu 2 hari kerja""        

Syarat dan Ketentuan Cicilan
1. Nominal transaksi yang akan diikutkan cicilan di blokir selama jangka waktu cicilan namun setiap bulan akan berangsur-angsur kembali ke limit kartu kredit sebesar nominal cicilan.
2. Apabila Pemegang Kartu menunggak > 2 bulan berturut-turut, proses installment dapat dibatalkan oleh pihak Bank dan sisa cicilan akan dibebankan secara penuh + bunga cicilan yang belum ditagihkan.
3. Pelunasan awal oleh Pemegang Kartu dilakukan dengan membayar penuh seluruh sisa nilai pokok cicilan + bunga cicilan yang belum ditagihkan + Biaya Pinalti
4. Adapun biaya penalty dikenakan sebesar 1% dari sisa nilai pokok cicilan.",2024-02-01 00:00:00,2024-04-30 00:00:00
Petugas Agen BRilink,2024-03-27 15:38:27,Petugas Agen BRilink,Pekerja (Kontrak) BRI yang mempunyai tugas pokok antara lain melakukan pembinaan dan monitroing kepada Agen Brilink.,,"1. Persyaratan Sumber Internal Petugas Agen BRilink
a. Bersumber dari Pekerja Kontrak dan Pekerja Outsourcing eksisting kecuali Pekerja Dasar dan Petugas Bansos
b. Pendidikan minimal D1, diutamakan D3/S1
c. Rekomendasi Pemimpin Unit Kerja

2. Persyaratan Sumber Eksternal Petugas Agen BRilink
a.. Minimal 20 tahun dan maksimal 25 tahun (belum berulang tahun ke 26 pada saat seleksi administrasi)
b. Pendidikan minimal D1 (diutamakan D3 / S1) dari Universitas / Perguruan Tinggi dengan IPK minimal 2,75 (skala 4)
c. Memiliki KTP, NPWP dan Surat Keterangan Berkelakuan Baik
d. Diutamakan berdomisili di wilayah setempat
e. Belum menikah
f. Mampu berkomunikasi dengan baik dan lancar serta berpenampilan menarik
g. Memiliki kendaraan pribadi dan SIM C
h. Tidak terikat dengan perusahaan lain
i. Mampu mengoperasikan komputer (minimal MS. Word dan Ms. excel)
j. mampu mengoperasikan sarana komunikasi jarak jauh",,
Program penawaran QRIS BRI untuk member Indogrosir,2024-03-27 15:38:27,Program penawaran QRIS BRI untuk member Indogrosir,Program penawaran pendaftaran QRIS BRI kepada member merah Indogrosir yang memiliki usaha mikro dan sudah memiliki rekening BRI.,"1. Sebagai alternatif pembayaran
Dengan menggunakan QRIS, Bapak/Ibu dapat meningkatkan kepuasan pelanggan dengan menyediakan alternatif pembayaran yang beragam. 
Karena QRIS dapat diterima oleh seluruh dompet digital/e-wallet dari berbagai metode pembayaran.
Dengan menyediakan beberapa alternatif pembayaran, secara otomatis akan naik pula kemungkinan keberhasilan penjualan.
2. Transaksi lebih cepat dan efisien
Manfaat penggunaan QRIS lainnya bagi pedagang adalah efisiensi dalam transaksi. Dengan menggunakan QRIS, 
transaksi dapat dilakukan dengan lebih cepat dan juga efisien.  Kecepatan dalam bertransaksi ini juga akan berdampak pada kepuasan pelanggan.
3. Meminimalisir penipuan
Dengan menggunakan QRIS, transaksi langsung tercatat sehingga dapat meminimalisir penipuan.
Selain itu, Bapak/Ibu juga dapat terhindar dari penipuan uang palsu karena transaksi dilakukan tanpa uanag tunai (cashless). 
4. Pemantauan dan analisis transaksi yang lebih mudah
Penggunaan QRIS juga dapat membuat pemantauan transaksi menjadi lebih mudah.
Dengan menggunakan QRIS, setiap transaksi yang terjadi tercatat dengan baik. Oleh karena itu, hal ini akan memudahkan Bapak/Ibu
untuk melakukan pemantauan dan analisis terhadap transaksi yang dilakukan.
5. transaksi yang dilakukan melalui QRIS akan langsung masuk ke rekening Bapak/Ibu, 
Transaksi tidak perlu menyiapkan kembalian
6.  Settlement untuk transaksi QRIS dilakukan secara otomatis masuk ke rekening nasabah yang terdaftar (tanpa perlu melakukan settlement manual spt pada mesin EDC)
7.  3 tahap Settlement QRIS (waktu menggunakan acuan WIB) :
a. Transaksi pada rentang pukul 23.31 - 10.00 -> akan dibayarkan pukul 12.00 - 14.00
b. Transaksi rentang pukul 10.01 - 14.00 -> akan dibayarkan pukul 16.00 - 18.00
c. Transaksi rentang pukul 14.01 - 23.30 -> akan dibayarkan H+1 mulai pukul 06.00","1. Perorangan:
a. PKS*
b. KTP Pemilik*
c. NIB (Nomor Induk Berusaha)

2. badan Hukum:
a. PKS *
b. KTP Pemilik/Pengurus*
c. NPWP
d. NIB (Nomor Induk Berusaha)

Ket:
* Mandatory/ Wajib",,
BRILiaN Banking Officer Program (BBOP),2024-04-01 07:51:46,BRILiaN Banking Officer Program (BBOP),"BRILiaN Banking Officer Program (BBOP) adalah program perekrutan Pekerja Tetap bagi seluruh Unit Kerja BRI, yang bertujuan untuk memenuhi formasi jabatan dengan Corporate Tittle Assistant (JG03 s.d. JG05).",-,"1. Persyaratan Kandidat BRILiaN Banking Officer Program
Sumber Eksternal
a. Untuk Golongan Jabatan JG 3
- Pendidikan Setara Program D.1 s.d D.4 dari Universitas / Perguruan Tinggi akreditasi diutamakan “A”, dengan IPK min 2,75 (skala 4).
- Usia maksimal 22 tahun (belum berulang tahun ke-23 pada saat seleksi awal).
- Surat Keterangan Catatan Kepolisian (SKCK).
- Bersedia ditempatkan di seluruh Unit Kerja BRI.
- Diutamakan berdomisili di Unit Kerja setempat.

b. Untuk Golongan Jabatan JG 4 dan JG 5 :
- Diutamakan Pendidikan S.1 dari Universitas / Perguruan Tinggi akreditasi diutamakan “A”, dengan IPK min 2.75 (skala 4).
- Untuk lulusan D.3 usia maksimal 22 tahun (belum berulang tahun ke-23 pada saat seleksi awal),
- lulusan S.1/D.4 usia maksimal 25 tahun (belum berulang tahun ke-26 pada saat seleksi awal).
- Surat Keterangan Catatan Kepolisian (SKCK).
- Bersedia ditempatkan di seluruh Unit Kerja BRI.
- Diutamakan berdomisili di Unit Kerja setempat.

2. Sumber Internal (Pekerja Tetap, Kontrak, Ousourcing Penugasan BRI, Peserta Magang)
- Pendidikan minimal D.3 untuk JG 3, dan diutamakan S.1 untuk JG 4 dan JG 5, tidak mensyaratkan nilai IPK, dan Akreditasi Universitas/Jurusan Peserta.
- Usia maksimal 36 tahun (belum berulang tahun ke-37 pada saat seleksi awal).
- Direkomendasi oleh Pemimpin Unit Kerja.
- Masa Kerja Efektif (MKE) minimal 1 (satu) tahun.
- Penilaian Kinerja selama 1 (satu) tahun terakhir minimal 2,75.
- Tidak memiliki Tunggakan Kewajiban (Denda Ikatan Dinas, Pinjaman Pekerja, Briguna, Kartu Kredit dan Koperasi, baik Pekerja Ybs. dan/atau kewajiban suami/istri di BRI, termasuk tunggakan kewajiban di Instansi lain).
- Dalam 1 (satu) tahun terakhir tidak dikenakan Hukuman Disiplin atau tidak sedang dalam indikasi kasus/masa penundaan promosi akibat Hukuman Disiplin telah berakhir.
- Bersedia di tempatkan di seluruh Unit Kerja BRI.

3.  Masa Ikatan Dinas BRILiaN Banking Officer Program
a. Pekerja yang mengajukan pengunduran diri selama dalam jangka waktu kontrak, wajib membayar ganti rugi kepada Perusahaan sebesar Upah x Sisa Masa Kontrak yang belum dijalani.

b. Pekerja yang telah diangkat sebagai Pekerja Tetap dan mengajukan pengunduran diri dalam masa ikatan dinas, wajib membayar ganti rugi kepada Perusahaan yang berlaku proporsional dengan perhitungan sebagai berikut :
a. Pinalti JG 3 dan 4.
Jumlah sisa bulan ikatan dinas/ 36 bulan x Rp 50.000.000,-
b. Pinalti JG 5.
Jumlah sisa bulan ikatan dinas/ 36 bulan x Rp 75.000.000,-

4. Periode Rekrutmen BBOP dilaksanakan 3 (tiga) kali dalam setahun yaitu:
a. Periode 1 : Januari - Februari
b. Periode 2 : Mei - Juni
c. Periode 3 : September - Oktober

5. Periode Pendidikan dilaksanakan 3 (tiga) kali dalam setahun yaitu:
a. Periode 1 : Maret
b. Periode 2 : Juli
c. Periode 3 : November",2024-05-01 00:00:00,2024-06-30 00:00:00
