No,Case Types,User Grouping_New,User Grouping_Old,Segment,Product,Sub Product,Case Category,Case Description,New Case Description,Required Sub-Description,Sub,Doc Intake,List Kebutuhan Dokumen,Suggestion,Suggestion - Breakdown,Level of Effort,"Range of Days 
(Actual SLA)","Actual SLA
(days)","Target SLA 
(days)",BRI Notes,Team Name,T1 - Agent CCT/Frontliner,T2.1 - Supporting Unit,T2.2 - Supporting Unit,T2.3 - Supporting Unit,T3.1 - Product Owner,T3.2 - Product Owner,T3.3 - Product Owner,T4.1 - Technical Team,T4.2 - Technical Team,T4.3 - Technical Team,T5.1 - Third Party,T5.2 - Third Party,T5.3 - Third Party,Total SLA,New SLA,Status,GIC,Maker,Checker,Signer,Courtesy Awal,Kebutuhan Data,Jenis Produk dan atau Layanan LKPBU,Kategori Permasalahan LKPBU,Jenis Transaksi LKPBU,Penyebab Pengaduan LKPBU,Jenis Produk LBUT,Sandi Jenis  Produk LBUT,Sebab Pengaduan LBUT,Sandi Penyebab LBUT
1.0,1000,Resolution Center,Digital Banking,Individu Umum,Loans,KTA - Digital,Inquiry,"CERIA - Status Pengajuan, Aplikasi, Cara & Syarat",Nasabah Menanyakan Informasi Pengajuan Terkait CERIA,1.0,"1. Cara, Syarat & Ketentuan
2. Status",,,Move to Resolution Center,Move to CCT,Low,3 ~ 5,4.0,1.0,"Sub: Cara, Syarat & Ketentuan; Status; Pembatalan, Add new call type: komplain (T3.1- DDB(Helpdesk) (2 days), T3.2 - DDB (OPS) (2 days))",T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,DCE,,,,1C,Credit & Digital Lending,Kredit Tanpa Agunan,Lain-Lain : Informasi Cara Pengajuan,Diluar Sistem Pembayaran,Pemahaman karakteristik produk oleh Konsumen,Kartu Kredit,KK,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
2.0,1002,Resolution Center,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Products / Promotion Inquiry,CERIA - Promo dan Program CERIA,Nasabah Menyakan Terkait Promo dan Program CERIA,,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,1.0,4.0,,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,DCE,,,,1B,Credit & Digital Lending,Kredit Tanpa Agunan,Lain-Lain : Informasi Promo,Diluar Sistem Pembayaran,Pemahaman karakteristik produk oleh Konsumen,Kartu Kredit,KK,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
3.0,1003,Digital Banking,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Pelunasan Awal Cicilan,Nasabah Mengajukan Pelunasan Awal Cicilan CERIA,,,,,Move to Resolution Center,,Low,3 ~ 5,4.0,4.0,Ada kasus kalau case tunggak sama case ga tunggak,"T3.1 - CDD(CLL CERIA), T3.2 - DDB(OPS)",1.0,,,,2.0,2.0,,,,,,,,5.0,4.0,Done,DCE,,,,1B,Credit & Digital Lending,Kredit Tanpa Agunan,Biaya Administrasi/Provisi/Transaksi,Terkait Sistem Pembayaran,Perubahan / pemutusan akad / perjanjian / kontrak,Kartu Kredit,KK,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
4.0,1005,"Card, Digital Lending & Assset",Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Blokir,Nasabah Mengajukan Pemblokiran CERIA,,,1,"1. Screen Shot home ceria
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",Move to Resolution Center,Move to CCT,Medium,6 ~ 10,8.0,2.0,Menunggu mendapatkan akses dari DDB,T3.1 - CDD(CLL CERIA),1.0,,,,1.0,,,,,,,,,2.0,1.0,Done,DCE,,,,1C,Credit & Digital Lending,,,,,Kartu Kredit,KK,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
5.0,1008,Operational Risk,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,Nasabah Mengajukan Pengaktifan Akun Ceria Terblokir ,Nasabah Mengajukan Pengaktifan Akun Ceria Terblokir karena Fraud Detection System,,,,,No Change,,Medium,6 ~ 10,6.0,6.0,Done,T3.1 - ORD(FBI),1.0,,,,8.0,,,,,,,,,9.0,8.0,Done,DCE,,,,1B,Credit & Digital Lending,,,,,Kartu Kredit,KK,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
6.0,1009,Digital Banking,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Buka Blokir R CERIA,Nasabah Mengajukan Pembukaan Blokir CERIA,,,1,"1. Screen Shot home ceria
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",Move to Resolution Center,,Medium,6 ~ 10,7.0,20.0,To be discussed with ORD,"T3.1 - DDB(Helpdesk), T3.2 - ORD(FBI), T3.3 - DDB(OPS)",1.0,,,,2.0,4.0,2.0,,,,,,,9.0,8.0,Partially Done,DCE,,,,1C,Credit & Digital Lending,Kredit/Pembiayaan Konsumsi,Kegagalan/Keterlambatan Transaksi,Terkait Sistem Pembayaran,Pemahaman karakteristik produk oleh Konsumen,Kartu Kredit,KK,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
7.0,1010,Digital Banking,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Pembatalan Transaksi,Nasabah Mengajukan Pembatalan Transaksi CERIA,,,1,"1. Screen Shot home ceria
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",No Change,,Medium,6 ~ 10,6.0,8.0,,"T3.1 - DDB(Helpdesk), T3.2- DDB(OPS)",1.0,,,,6.0,2.0,,,,,,,,9.0,8.0,Done,DCE,,,,1C,Credit & Digital Lending,Kredit Tanpa Agunan,Lain-Lain : Perubahan Transaksi,Terkait Sistem Pembayaran,Perubahan / pemutusan akad / perjanjian / kontrak,Kartu Kredit,KK,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
8.0,1011,Digital Banking,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Gagal Transaksi CERIA,Nasabah Komplain Gagal Transaksi CERIA,,,1,"1. Screen Shot home ceria
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",No Change,,Medium,6 ~ 10,6.0,19.0,,"T3.1 - DDB(Helpdesk), T3.2- DDB(OPS)",1.0,,,,4.0,2.0,,,,,,,,7.0,6.0,Done,DCE,,,,1C,Credit & Digital Lending,Kredit Tanpa Agunan,Kegagalan/Keterlambatan Transaksi,Terkait Sistem Pembayaran,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Kartu Kredit,KK,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
9.0,1013,"Card, Digital Lending & Assset",Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Refund,Nasabah Mengajukan Pengembalian Dana (Refund) atas Pembayaran CERIA,,,1,"1. Screen Shot home ceria
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",No Change,,Medium,6 ~ 10,6.0,20.0,Team Name CDD perlu dikonfirmasi ulang,"T3.1 - DDB(Helpdesk), T3.2- DDB(OPS), T3.3 - CDD(OPE ITEM)",1.0,,,,3.0,2.0,3.0,,,,,,,9.0,8.0,Done,DCE,,,,1C,Credit & Digital Lending,Kredit Tanpa Agunan,,,Perubahan / pemutusan akad / perjanjian / kontrak,Kartu Kredit,KK,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
10.0,1014,Digital Banking,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Pinjaman Tunai (pencairan tidak berhasil masuk ke tabungan),Nasabah Komplain Pencairan Pinjaman Tunai CERIA Tidak Berhasil Masuk ke Rekening,,,1,"1. Screen Shot home ceria
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",No Change,,Medium,6 ~ 10,7.0,20.0,Informasi pencairan dapat menggunakan Call Type 1000,"T3.1 - DDB(Helpdesk), T3.2 - DDB(OPS)",1.0,,,,4.0,3.0,,,,,,,,8.0,7.0,Done,DCE,,,,1C,Credit & Digital Lending,Kredit Tanpa Agunan,,,Perubahan / pemutusan akad / perjanjian / kontrak,Kartu Kredit,KK,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
11.0,1015,Digital Banking,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Pembayaran Tagihan belum masuk,Nasabah Komplain Pembayaran Tagihan CERIA Melalui BRIVA Tidak Berhasil ,,,1,"1. Screen Shot home ceria
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",No Change,,Medium,6 ~ 10,6.0,20.0,,"T3.1 - DDB(Helpdesk), T3.2 - DDB(OPS)",1.0,,,,4.0,2.0,,,,,,,,7.0,6.0,Done,DCE,,,,1C,Credit & Digital Lending,Kredit Tanpa Agunan,Kegagalan/Keterlambatan Transaksi,Terkait Sistem Pembayaran,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Kartu Kredit,KK,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
12.0,1016,Digital Banking,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,CERIA - Komplain Autodebet,Nasabah Komplain Gagal Autodebet Pembayaran Tagihan CERIA,,,1,"1. Screen Shot home ceria
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",No Change,,Medium,6 ~ 10,5.0,6.0,"SLA discuss with CDD, menunggu development tools di DDB","T3.1 - DDB(Helpdesk), T3.2 - DDB(OPS)",1.0,,,,3.0,2.0,,,,,,,,6.0,5.0,Done,DCE,,,,1C,Credit & Digital Lending,Kredit Tanpa Agunan,Kegagalan/Keterlambatan Transaksi,Terkait Sistem Pembayaran,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Kartu Kredit,KK,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
13.0,1017,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Penutupan & Pembatalan Akun CERIA,Nasabah Mengajukan Penutupan & Pembatalan Akun CERIA,,,1,"1. Screen Shot home ceria
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",No Change,,Medium,6 ~ 10,7.0,11.0,Move GIC,"T3.1 - DDB(Helpdesk), T3.2 - CDD(CLF-1 DATAM)",1.0,,,,4.0,3.0,,,,,,,,8.0,7.0,Done,DCE,,,,1C,Credit & Digital Lending,Kredit Tanpa Agunan,pemblokiran/Penutupan/perubahan rekening secara sepihak,Terkait Sistem Pembayaran,Pemahaman karakteristik produk oleh Konsumen,Kartu Kredit,KK,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
14.0,1018,Digital Banking,Digital Banking,Individu Umum,Loans,KTA - Digital,Complaint - Transaction,Nasabah Komplain Pembayaran Tagihan Ceria,Nasabah Komplain Pembayaran Tagihan Ceria Non BRIVA Tidak Berhasil,,,,,No Change,,Medium,6 ~ 10,6.0,6.0,Done,"T3.1 - DDB(Helpdesk), T3.2 - DDB(OPS)",1.0,,,,3.0,2.0,,,,,,,,6.0,5.0,Done,DCE,,,,1B,Credit & Digital Lending,Kredit Tanpa Agunan,Lain-Lain : Ceria,Terkait Sistem Pembayaran,Informasi produk kurang memadai,Kartu Kredit,KK,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
15.0,1020,"Card, Digital Lending & Assset",Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Perubahan Data Nasabah,Nasabah Mengajukan Perubahan Data Nomor Rekening CERIA,,,1,"1. Screen Shot home ceria
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",No Change,,Medium,6 ~ 10,5.0,11.0,"Konfirmasi dengan CDD, Konfirmasi kembali dengan DDB","T3.1 - DDB(Helpdesk), T3.2 - CDD(CLF-1 DATAM)",1.0,,,,3.0,5.0,,,,,,,,9.0,8.0,Done,DCE,,,,1C,Credit & Digital Lending,Kredit Tanpa Agunan,Lain-lain : Pengkinian Data Nasabah,Terkait Sistem Pembayaran,Lainnya : Pengkinian Data Nasabah,Kartu Kredit,KK,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
16.0,1024,Digital Banking,Digital Banking,Individu Umum,Loans,KTA - Digital,Request,CERIA - Billing Statement (komplain terkait issue billing statement),Nasabah Mengajukan Permintaan Billing Statement CERIA,,,,,No Change,,Low,3 ~ 5,4.0,19.0,,"T3.1 - DDB(Helpdesk), T3.2 - DDB(OPS)",1.0,,,,2.0,2.0,,,,,,,,5.0,4.0,Done,DCE,,,,1B,Credit & Digital Lending,Kredit Tanpa Agunan,Jumlah tagihan/saldo rekening,Terkait Sistem Pembayaran,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Kartu Kredit,KK,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
17.0,1025,Resolution Center,Digital Banking,Individu Umum,Loans,KTA - Digital,Inquiry,CERIA - Kenaikan Limit,Nasabah Menanyakan Informasi Kenaikan Limit CERIA,,,,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,15.0,,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,DCE,,,,1A,Credit & Digital Lending,,,,,Kartu Kredit,KK,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
18.0,1027,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,CERIA - Permintaan Surat Lunas Kolektibilitas,Nasabah Mengajukan Surat Keterangan Lunas Kolektibilitas produk CERIA,,,1,"1. Screen Shot home ceria
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",No Change,,High,11 ~ 15,11.0,19.0,Move GIC,T3.1 - CDD(CLL CERIA),1.0,,,,8.0,,,,,,,,,9.0,8.0,Done,DCE,,,,1C,Credit & Digital Lending,,,,,Kartu Kredit,KK,Keringanan Tagihan Kartu Kredit,110.0
19.0,1028,Digital Banking,"Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,"CERIA - Permintaan Keringanan Bayar, Penjadwalan Ulang Tagihan",Nasabah Mengajukan Keringanan Bayar CERIA,1.0,"1. Reschedule
2. Pelunasan Dengan Discount",1,"1. Screen Shot home ceria
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",No Change,,High,11 ~ 15,11.0,15.0,"Sub: Reschedule, Pelunasan Dengan Discount","T3.1 - CDD(CLL CERIA), T3.2 - DDB(OPS)",1.0,,,,7.0,3.0,,,,,,,,11.0,10.0,Done,DCE,,,,1C,Credit & Digital Lending,,,,,Kartu Kredit,KK,Keringanan Tagihan Kartu Kredit,110.0
20.0,1036,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,KTA - Digital,Request,"CERIA - Penghapusan bunga, denda keterlambatan dll","Nasabah Mengajukan Penghapusan Bunga, Denda Keterlambatan produk CERIA",,,1,"1. Screen Shot home ceria
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",No Change,,High,11 ~ 15,10.0,8.0,Move GIC,T3.1 - CDD(CLL CERIA),1.0,,,,8.0,,,,,,,,,9.0,8.0,Done,DCE,,,,1C,Credit & Digital Lending,,,,,Kartu Kredit,KK,Bunga/Biaya Lainnya,90.0
21.0,1038,"Card, Digital Lending & Assset",Digital Banking,Individu Umum,Loans,KTA - Digital,Fraud / Suspicious Transactions,CERIA - Komplain Transaksi Tidak Diakui,Nasabah Melaporkan Sanggahan Transaksi CERIA,,,1,"1. Screen Shot home ceria
2. Screen Shot tagihan ceria 
3. selfie ktp 2 sisi
4. ktp",No Change,,Medium,6 ~ 10,7.0,19.0,,"T3.1 - DDB(Helpdesk), T3.2 - ORD(FBI), T3.3 - CDD(CHARGEBACK)",1.0,,,,3.0,2.0,2.0,,,,,,,8.0,7.0,Done,DCE,,,,1C,Credit & Digital Lending,Kredit Tanpa Agunan,Biaya Administrasi/Provisi/Transaksi,Terkait Sistem Pembayaran,Kelalaian Konsumen,Kartu Kredit,KK,Produk digunakan atau data disalahgunakan oleh orang lain,30.0
22.0,1100,Resolution Center,"Card, Digital Lending & Assset","Individu Umum, Individu Priority & Private",Loans,Kartu Kredit,Inquiry,"Status Pengajuan Aplikasi, Cara & Syarat [Sanggahan pengajuan kartu kredit]",Nasabah Menanyakan Pengajuan Terkait Produk Kartu Kredit,1.0,"1. Cara, Syarat & Ketentuan
2. Status
3. Pembatalan",,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,1.0,,"Sub: Cara, Syarat & Ketentuan, Status, Pembatalan",T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,KKD-AKK-ACQPR,,,,1A,Credit & Digital Lending,Kartu Kredit,,,Pemahaman karakteristik produk oleh Konsumen,Kartu Kredit,KK,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
23.0,1101,Operational Risk,Operational Risk,Individu Umum,Loans,Kartu Kredit,Fraud / Suspicious Transactions,Sanggahan Pengajuan Kartu Kredit,Nasabah Melaporkan Sanggahan Kepemilikan Kartu Kredit,,,1,1. Surat Pernyataan Nasabah,No Change,,Very High,16 ~ 20,18.0,14.0,New Case Type -,T2.1 - ORD(FBI),1.0,10.0,,,,,,,,,,,,11.0,10.0,Done,LCC-FBI,,,,1C,Credit & Digital Lending,Kartu Kredit,"Fraud, penipuan, kecurangan oleh pegawai dan/atau pihak lain",Terkait Sistem Pembayaran,Kelalaian Konsumen,Kartu Kredit,KK,Produk digunakan atau data disalahgunakan oleh orang lain,30.0
24.0,1201,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Complaint - Non-Transaction,Komplain aplikasi Kartu Kredit Co Branding (pengajuan kartu kredit),Nasabah Komplain Pengajuan Aplikasi Kartu Kredit Co-Branding,,,,,No Change,,Medium,6 ~ 10,9.0,13.0,,T3.1 - CDD(MPP PRN),1.0,,,,10.0,,,,,,,,,11.0,10.0,Done,KKD-MPP-PRN,,,,1B,Credit & Digital Lending,Kartu Kredit,Kegagalan/Keterlambatan Transaksi,Terkait Sistem Pembayaran,Gangguan / kerusakan perangkat dan sistem teknologi informasi,Kartu Kredit,KK,Permasalahan/kerusakan pada Sistem Teknologi Informasi,20.0
25.0,1202,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Permintaan Kartu Tambahan,Nasabah Mengajukan Kartu Kredit Tambahan,1.0,"1. Add-on Basic
2. Add-on Supplement",1,1. ktp orang tambahan,No Change,,Low,3 ~ 5,3.0,14.0,"Sub: Add-on Basic, Add-on Supplement","T3.1 - CDD(CLF-1 SSU), T3.2 - CDD(CLF-1 Verif), T3.3 - CDD(CLF-1 Analyst)",1.0,,,,1.0,2.0,2.0,,,,,,,6.0,5.0,Done,KKD-AKK-SSU,,,,1C,Credit & Digital Lending,,,,,Kartu Kredit,KK,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
26.0,1203,Resolution Center,Service & Contact Center - CCT,Individu Umum,Loans,Kartu Kredit,Request,Aktivasi Kartu Kredit Melalui Call Center,Nasabah Mengajukan Aktivasi Kartu Kredit,1.0,"1. Nomor Terdaftar
2. Nomor tidak Terdaftar",,,Move to Resolution Center,,Very Low,0 ~ 2,,,"Sub: Nomor Terdaftar, Nomor tidak Terdaftar",T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,krt,LCC-CCTCALL,,,,1A,Credit & Digital Lending,,,,,Kartu Kredit,KK,Lainnya,999.0
27.0,1204,Resolution Center,Service & Contact Center - CCT,Individu Umum,Loans,Kartu Kredit,Request,Aktivasi Kartu Kredit Melalui Petugas Proaktivasi,Nasabah Mengajukan Aktivasi Kartu Kredit Melalui Petugas Proaktivasi,,,,,Move to Resolution Center,,Very Low,0 ~ 2,1.0,,"Proposed to merge as sub in 1203 (if possible bcs 1203 close at agent, 1204 agent--> telesales --> telesales close, but both 1203 & 1204 has same SLA)",T1 - Telesales,1.0,,,,,,,,,,,,,1.0,,Done,LCC-CCTTELE,,,,1B,Credit & Digital Lending,,,,,Kartu Kredit,KK,Lainnya,999.0
28.0,1210,Resolution Center,Service & Contact Center - CCT,Individu Umum,Servicing,Mobile Banking,Platform & Device Support,Outbound Call Onboarding BRImo,Nasabah gagal daftar BRIMO dan dihubungi oleh Agent untuk dipandu registrasi,,,,,,,,,,,Done,T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,,LCC-CCTCALL,,,,1A,Regular Banking,,,,,,,,
29.0,1211,Resolution Center,Service & Contact Center - CCT,"Individu Umum, Individu Priority & Private",Loans,Kartu Kredit,Request,Program Internal Telesales (agent inbound to outbond),Nasabah Mengajukan Cicilan Kartu Kredit Melalui Telesales,1.0,"1. Transaksi >7 Hari
2. Pengajuan Loan on Phone",,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,,"Sub: Transaksi >7 Hari, Pengajuan Loan on Phone",T2.1 - Telesales,1.0,1.0,,,,,,,,,,,,2.0,1.0,Done,LCC-CCTTELE,,,,1B,Credit & Digital Lending,,,,,Kartu Kredit,KK,Lainnya,999.0
30.0,1600,Resolution Center,"Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Products / Promotion Inquiry,Informasi promo dan program kartu kredit,"Nasabah Menanyakan Informasi Promo, Program, dan Asuransi Kartu Kredit",1.0,"1. Program
2. Promo
3. Asuransi",,,Move to Resolution Center,Move to CCT,Very Low,0 ~ 2,,,"Sub: Promo, Program, Asuransi",T1 - Agent CCT/Frontliner,1.0,,,,,,,,,,,,,1.0,,Done,KKD-MPP-MSD,,,,1A,Credit & Digital Lending,Kartu Kredit,Lain-Lain : Informasi Promo,Diluar Sistem Pembayaran,Pemahaman karakteristik produk oleh Konsumen,Kartu Kredit,KK,Lainnya,999.0
31.0,1700,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Third Party Support,Pendaftaran asuransi kerja sama kartu kredit,Nasabah Mengajukan Pendaftaran Kepesertaan Asuransi Kerja Sama Kartu Kredit,,,,,No Change,,Medium,6 ~ 10,8.0,20.0,,"T3.1 - CDD(SPD SCD), Include Insurance Company",1.0,,,,8.0,,,,,,,,,9.0,8.0,Done,KKD-PBK-KKPBK,,,,1B,Credit & Digital Lending,,,,,Kartu Kredit,KK,Lainnya,999.0
32.0,1701,"Card, Digital Lending & Assset","Card, Digital Lending & Assset",Individu Umum,Loans,Kartu Kredit,Request,Pembatalan asuransi kerja sama kartu kredit,Nasabah Mengajukan Pembatalan Kepesertaan Asuransi Kerja Sama Kartu Kredit,,,,,No Change,,Low,3 ~ 5,2.0,,,"T3.1 - CDD(SPD SCD), Include Insurance Company",1.0,,,,8.0,,,,,,,,,9.0,8.0,Done,KKD-PBK-KKPBK,,,,1B,Credit & Digital Lending,Kartu Kredit,Lain-Lain : Asuransi Kartu Kredit,Diluar Sistem Pembayaran,Perubahan / pemutusan akad / perjanjian / kontrak,Kartu Kredit,KK,Perubahan/Pemutusan Akad/Perjanjian/Kontrak,20.0
