"NO","CASE TYPES","USER GROUPING_NEW","USER GROUPING_OLD","SEGMENT","PRODUCT","SUB PRODUCT","CASE CATEGORY","CASE DESCRIPTION","NEW CASE DESCRIPTION","REQUIRED SUB-DESCRIPTION","SUB","DOC INTAKE","LIST KEBUTUHAN DOKUMEN","SUGGESTION","SUGGESTION - BREAKDOWN","LEVEL OF EFFORT","RANGE OF DAYS 
(ACTUAL SLA)","ACTUAL SLA
(DAYS)","TARGET SLA 
(DAYS)","BRI NOTES","TEAM NAME","T1 - AGENT CCT/FRONTLINER","T2.1 - SUPPORTING UNIT","T2.2 - SUPPORTING UNIT","T2.3 - SUPPORTING UNIT","T3.1 - PRODUCT OWNER","T3.2 - PRODUCT OWNER","T3.3 - PRODUCT OWNER","T4.1 - TECHNICAL TEAM","T4.2 - TECHNICAL TEAM","T4.3 - TECHNICAL TEAM","T5.1 - THIRD PARTY","T5.2 - THIRD PARTY","T5.3 - THIRD PARTY","TOTAL SLA","NEW SLA","STATUS","GIC","MAKER","CHECKER","SIGNER","COURTESY AWAL","KEBUTUHAN DATA","JENIS PRODUK DAN ATAU LAYANAN LKPBU","KATEGORI PERMASALAHAN LKPBU","JENIS TRANSAKSI LKPBU","PENYEBAB PENGADUAN LKPBU","JENIS PRODUK LBUT","SANDI JENIS  PRODUK LBUT","SEBAB PENGADUAN LBUT","SANDI PENYEBAB LBUT","ACTIVE","EXTERNAL_ID","ERROR"
"","8406","Funding & Retail Payment","Funding & Retail Payment","All","Transaction Banking","Transaction Solution","Complaint - Transaction","Chargeback Kartu Debit yang Bertransaksi di e-Commerce","Chargeback Kartu Debit yang Bertransaksi di e-Commerce","","","0","","","","","","","","Call type internal NFT - FST","","1","","","","7","","","","","","","","","8","7","","FST-TSC","","","","n.a","","Kartu ATM/Debit/Mesin ATM","Kegagalan/Keterlambatan Transaksi","Terkait Sistem Pembayaran","Gangguan / kerusakan perangkat dan sistem teknologi informasi","ATM dan/atau Kartu Debet","AD","Permasalahan/kerusakan pada Sistem Teknologi Informasi","20","FALSE","8406","Customer Segment: bad value for restricted picklist field: All"
"254","8951","Digital Banking","Digital Banking","UMKM","Loans","KPR, KUR, KMK, KI","Platform & Device Support","KECEKU Fitur Suplesi Otomatis KUPEDES","","0","","0","","No Change","Propose to Delete","Very Low","0 ~ 2","0","2","New Case Type - Perlu konfirmasi dengan Team Terkait DDB","","1","","","","1","1","","","","","","","","3","2","","DCE","","","","n.a","","Kredit/Pembiayaan Investasi","Bunga/Bagi Hasil/Margin Keuntungan","Diluar Sistem Pembayaran","Pemahaman karakteristik produk oleh Konsumen","Lainnya","XX","Lainnya","999","FALSE","8951","Product: bad value for restricted picklist field: KPR, KUR, KMK, KI"
"267","8106-1*","Investment Service","Investment Service","Individu Umum","Investment","DPLK","Complaint - Transaction","Claim yang belum terbayarkan ke nasabah","Nasabah Komplain Claim DPLK Belum Terbayarkan, Nasabah Menanyakan Terkait Progress Perubahan Jenis Investasi","0","","0","","No Change","","Very Low","0 ~ 2","0","0","New Case Type -","","1","","","","9","","","","","","","","","10","9","","#N/A","","","","n.a","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","FALSE","8106-1*","Product: bad value for restricted picklist field: DPLK"
"270","8106-2*","Investment Service","Investment Service","Individu Umum","Investment","DPLK","Complaint - Transaction","Penarikan sebagian yang belum terbayarkan ke nasabah","Nasabah Komplain Penarikan Sebagian Belum Terbayarkan","1","","0","","No Change","","Very Low","0 ~ 2","10","10","New Case Type -","","1","","","","9","","","","","","","","","10","9","","#N/A","","","","n.a","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","FALSE","8106-2*","Product: bad value for restricted picklist field: DPLK"
"271","8106-3*","Investment Service","Investment Service","Individu Umum","Investment","DPLK","Complaint - Transaction","Dana pengalihan DPLK belum masuk","Nasabah Komplain Dana Pengalihan Masuk/Keluar Belum Berhasil","1","","0","","No Change","","Very Low","0 ~ 2","10","10","New Case Type -","","1","","","","9","","","","","","","","","10","9","","#N/A","","","","n.a","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","FALSE","8106-3*","Product: bad value for restricted picklist field: DPLK"
"272","8106-4*","Investment Service","Investment Service","Individu Umum","Investment","DPLK","Complaint - Transaction","DPLK sudah close namun iuran Rutin masih tertagih (possible to delete)","Nasabah Komplain Iuran DPLK Belum Masuk ke Rekening DPLK","0","","0","","No Change","","Very Low","0 ~ 2","0","0","New Case Type -","","1","","","","5","","","","","","","","","6","5","","#N/A","","","","n.a","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","FALSE","8106-4*","Product: bad value for restricted picklist field: DPLK"
"273","8106-5*","Investment Service","Investment Service","Individu Umum","Investment","DPLK","Request","Pengiriman Ulang Portofolio/E-Statement DPLK","Nasabah Mengajukan Pengiriman Ulang Portfolio/E-Statement DPLK","0","","0","","No Change","","Very Low","0 ~ 2","1","1","New Case Type - Menunggu Kewenangan dari INV","","1","","","","","","","","","","","","","1","0","","#N/A","","","","n.a","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","FALSE","8106-5*","Product: bad value for restricted picklist field: DPLK"
"274","8106-6*","Investment Service","Investment Service","Individu Umum","Investment","DPLK","Request","Nasabah Mengajukan bukti potong pajak pembayaran DPLK","Nasabah Mengajukan bukti potong pajak pembayaran DPLK","0","","0","","No Change","","Very Low","0 ~ 2","1","1","New Case Type - Menunggu Kewenangan dari INV","","1","","","","","","","","","","","","","1","0","","#N/A","","","","n.a","","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","FALSE","8106-6*","Product: bad value for restricted picklist field: DPLK"
"24","1102","Resolution Center","Service & Contact Center - CRS","All","All","All","Request","Menanyakan Pengiriman dok / Data Tambahan (follow up permintaan dokumen )","","0","Yes","No","No","Move to Resolution Center","","Very Low","0 ~ 2","0","1","Proposed to delete embbed with specific case type","T2.1 - CRS","1","1","","","","","","","","","","","","2","1","","KKD-AKK-SSU","","","","","","","","","","","","","","FALSE","1102","Customer Segment: bad value for restricted picklist field: All"
"139","8002","Resolution Center","Service & Contact Center - CCT","All","Savings, Transaction Banking","Tabungan, Cash Management, Payment Solutions, Mobile Banking, Internet Banking","Third Party Support","Bansos - KPM Gagal Tarik Tunai di E-Channel","","0","Yes","No","No","Move to Resolution Center","","Extremely High","21 ~ 70","25","10","Proposed to delete","","1","","","","","","","","","","","","","1","0","","LCC-CCTNIK","","","","","","","","","","","","","","FALSE","8002","Customer Segment: bad value for restricted picklist field: All"
