"NO","CASE TYPES","USER GROUPING_NEW","USER GROUPING_OLD","SEGMENT","PRODUCT","SUB PRODUCT","CASE CATEGORY","CASE DESCRIPTION","NEW CASE DESCRIPTION","REQUIRED SUB-DESCRIPTION","SUB","DOC INTAKE","LIST KEBUTUHAN DOKUMEN","SUGGESTION","SUGGESTION - BREAKDOWN","LEVEL OF EFFORT","RANGE OF DAYS 
(ACTUAL SLA)","ACTUAL SLA
(DAYS)","TARGET SLA 
(DAYS)","BRI NOTES","TEAM NAME","T1 - AGENT CCT/FRONTLINER","T2.1 - SUPPORTING UNIT","T2.2 - SUPPORTING UNIT","T2.3 - SUPPORTING UNIT","T3.1 - PRODUCT OWNER","T3.2 - PRODUCT OWNER","T3.3 - PRODUCT OWNER","T4.1 - TECHNICAL TEAM","T4.2 - TECHNICAL TEAM","T4.3 - TECHNICAL TEAM","T5.1 - THIRD PARTY","T5.2 - THIRD PARTY","T5.3 - THIRD PARTY","TOTAL SLA","NEW SLA","STATUS","GIC","MAKER","CHECKER","SIGNER","COURTESY AWAL","KEBUTUHAN DATA","JENIS PRODUK DAN ATAU LAYANAN LKPBU","KATEGORI PERMASALAHAN LKPBU","JENIS TRANSAKSI LKPBU","PENYEBAB PENGADUAN LKPBU","JENIS PRODUK LBUT","SANDI JENIS  PRODUK LBUT","SEBAB PENGADUAN LBUT","SANDI PENYEBAB LBUT","ACTIVE","EXTERNAL_ID","ERROR"
"22","1100","Resolution Center","Card, Digital Lending & Assset","Individu Umum, Individu Priority & Private","Loans","Kartu Kredit","Inquiry","Status Pengajuan Aplikasi, Cara & Syarat [Sanggahan pengajuan kartu kredit]","Nasabah Menanyakan Pengajuan Terkait Produk Kartu Kredit","1","1. Cara, Syarat & Ketentuan
2. Status
3. Pembatalan","0","","Move to Resolution Center","Move to CCT","Very Low","0 ~ 2","1","0","Sub: Cara, Syarat & Ketentuan, Status, Pembatalan","T1 - Agent CCT/Frontliner","1","","","","","","","","","","","","","1","0","","KKD-AKK-ACQPR","","","","1A","Credit & Digital Lending","Kartu Kredit","#N/A","#N/A","Pemahaman karakteristik produk oleh Konsumen","Kartu Kredit","KK","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20","TRUE","221100","Customer Segment: bad value for restricted picklist field: Individu Umum, Individu Priority &amp; Private"
"29","1211","Resolution Center","Service & Contact Center - CCT","Individu Umum, Individu Priority & Private","Loans","Kartu Kredit","Request","Program Internal Telesales (agent inbound to outbond)","Nasabah Mengajukan Cicilan Kartu Kredit Melalui Telesales","1","1. Transaksi >7 Hari
2. Pengajuan Loan on Phone","0","","Move to Resolution Center","Move to CCT","Very Low","0 ~ 2","0","0","Sub: Transaksi >7 Hari, Pengajuan Loan on Phone","T2.1 - Telesales","1","1","","","","","","","","","","","","2","1","","LCC-CCTTELE","","","","1B","Credit & Digital Lending","#N/A","#N/A","#N/A","#N/A","Kartu Kredit","KK","Lainnya","999","TRUE","291211","Customer Segment: bad value for restricted picklist field: Individu Umum, Individu Priority &amp; Private"
"35","1708","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum, Individu Priority & Private","Loans","Kartu Kredit","Request","Permintaan Pelunasan Awal Cicilan (Refund Merchant, Dobel Cicilan, Error Cicilan)","Nasabah Mengajukan Pembatalan Cicilan Terhadap Transaksi Kartu Kredit","1","1. Refund Merchant
2. Dobel Cicilan
3. Error Cicilan","0","","No Change","","Low","3 ~ 5","2","7","Sub: Refund Merchant, Dobel Cicilan, Error Cicilan","T3.1 - CDD(OPE MSU), T3.2 - CDD(ACU OTO)","1","","","","3","2","","","","","","","","6","5","","KKD-OPS-MSU","","","","1B","Credit & Digital Lending","Kartu Kredit","Pemblokiran/Penutupan/perubahan rekening secara sepihak","Terkait Sistem Pembayaran","Pemahaman karakteristik produk oleh Konsumen","Kartu Kredit","KK","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20","TRUE","351708","Customer Segment: bad value for restricted picklist field: Individu Umum, Individu Priority &amp; Private"
"36","1709","Card, Digital Lending & Assset","Card, Digital Lending & Assset","Individu Umum, Individu Priority & Private","Loans","Kartu Kredit","Request","Permintaan Pelunasan Awal Cicilan (Request Pemegang Kartu)","Nasabah Mengajukan Pelunasan Awal Cicilan","0","","1","1. surat pernyataan
2. ktp
3. kartu kredit","No Change","","Medium","6 ~ 10","6","20","","T3.1 - CDD(OPE MSU), T3.2 - CDD(ACU OTO)","1","","","","3","3","","","","","","","","7","6","","KKD-OPS-MSU","","","","1C","Credit & Digital Lending","#N/A","#N/A","#N/A","#N/A","Kartu Kredit","KK","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20","TRUE","361709","Customer Segment: bad value for restricted picklist field: Individu Umum, Individu Priority &amp; Private"
"131","7979","Resolution Center","Service & Contact Center - CCT","Korporasi","Savings","Giro","Inquiry","Nasabah Inti Kerjasama","Nasabah Inti Kerjasama (NIK) Menanyakan Informasi Pengunaan Cash Card","0","","0","","Move to Resolution Center","Move to CCT","Very Low","0 ~ 2","0","19","","T1 - Agent CCT/Frontliner","1","","","","","","","","","","","","","1","0","","LCC-CCTNIK","","","","1A","Regular Banking","#N/A","#N/A","#N/A","#N/A","Lainnya","XX","Lainnya","999","TRUE","1317979","bad value for restricted picklist field: Giro"
"132","8001","Resolution Center","Service & Contact Center - CCT","All","Servicing","Government Programme","Third Party Support","Bansos-Pemindahan Kuota KPM","Nasabah Menanyakan Informasi pemindahan kuota KPM","0","","0","","Move to Resolution Center","Move to CCT","","","0","0","Done","T1 - Agent CCT/Frontliner","1","","","","","","","","","","","","","1","0","","LCC-CCTNIK","","","","1A","Regular Banking","#N/A","#N/A","#N/A","#N/A","Lainnya","XX","Lainnya","999","TRUE","1328001","Customer Segment: bad value for restricted picklist field: All"
"136","8102","Resolution Center","Service & Contact Center - CRS","All","Loans","KPR, KUR, KMK, KI","Inquiry","Permasalahan Pinjaman (permintaan untuk penyesuaian ketentuan produk pinjaman)","Nasabah Menanyakan Cara, Syarat & Ketentuan Terkait Produk Pinjaman","0","","0","","Move to Resolution Center","","Very Low","0 ~ 2","0","10","Sub: TBC, notes: perlu ada call type khusus terkait Komplain","T1 - Agent CCT/Frontliner","1","","","","","","","","","","","","","1","0","","LCC-CRC","","","","1A","Regular Banking","Kredit/Pembiayaan Kendaraan Bermotor","#N/A","#N/A","Pemahaman karakteristik produk oleh Konsumen","Lainnya","XX","Perubahan/Pemutusan Akad/Perjanjian/Kontrak","20","TRUE","1368102","Customer Segment: bad value for restricted picklist field: All"
"139","8105","Resolution Center","Service & Contact Center - CRS","Individu Umum","Investment","SBN","Products / Promotion Inquiry","TRUSTEE, KUSTODIAN, ORI, SUBSIDIARIES","Nasabah Menanyakan Cara, Syarat & Ketentuan Terkait Produk Investasi","1","1. Breakdown by Investment Product
2. Potential to generate leads","0","","Move to Resolution Center","","Medium","6 ~ 10","9","6","Sub: Breakdown by Investment Product, Potential to generate leads","T2.1- CRS","1","1","","","","","","","","","","","","2","1","","LCC-CCTNIK","","","","1B","Regular Banking","Pengelolaan Portofolio Efek Untuk Kepentingan Nasabah Secara Individual (KPD)","#N/A","#N/A","Pemahaman karakteristik produk oleh Konsumen","Lainnya","XX","Lainnya","999","TRUE","1398105","Product: bad value for restricted picklist field: SBN"
"140","8106","Investment Service","Investment Service","Individu Umum","Investment","DPLK","Complaint - Transaction","DPLK Dana Pensiun Lembaga Keuangan (complain terkait DPLK)","Nasabah Komplain Terkait Dana Pensiun Lembaga Keuangan (DPLK)","1","1. Claim DPLK Belum Terbayarkan
2. Progress Perubahan Jenis Investasi
3. Penarikan Sebagian Belum Terbayarkan
4. Dana Pengalihan Masuk/Keluar Belum Berhasil
5. Iuran DPLK Belum Masuk ke Rekening DPLK
6. Pengiriman Ulang Portfolio/E-Statement DPLK
7. Bukti potong pajak pembayaran DPLK","0","","","","Very Low","0 ~ 2","1","9","","T3.1 - INV(DPLK)","1","","","","9","","","","","","","","","10","9","","DIS-DPLK","","","","1B","Regular Banking","Pengelolaan Portofolio Efek Untuk Kepentingan Nasabah Secara Individual (KPD)","#N/A","#N/A","Pemahaman karakteristik produk oleh Konsumen","Lainnya","XX","Lainnya","999","TRUE","1408106","Product: bad value for restricted picklist field: DPLK"
"154","8202","Resolution Center","Service & Contact Center - CCT","All","Servicing","Informasi Promo, Program, Produk","Products / Promotion Inquiry","Informasi Product Banking","Nasabah Menanyakan Informasi Product / Program Banking","0","","0","","Move to Resolution Center","","Very Low","0 ~ 2","0","0","","T1 - Agent CCT/Frontliner","1","","","","","","","","","","","","","1","0","","LCC-CCTCALL","","","","1A","Regular Banking","Tabungan","#N/A","#N/A","Pemahaman karakteristik produk oleh Konsumen","ATM dan/atau Kartu Debet","AD","Lainnya","999","TRUE","1548202","Customer Segment: bad value for restricted picklist field: All"
