Ticket ID;Ticket channel;Assignee ID;Assignee name;Requester ID;Requester name;Ticket subject;Requester created - Timestamp;Ticket created - Timestamp;Ticket solved - Timestamp;Tickets
3194897;Twitter;4,05257E+16;Agent Sosmed 3;2,35366E+18;choco_hm;;10/01/23 00.01;10/01/23 00.01;10/02/23 11.57;1
3194907;Any channel;4,05257E+16;Agent Socmed 1;2,35366E+18;choco_hm;;10/01/23 00.03;10/01/23 00.03;10/01/23 00.20;1
3194914;Any channel;4,05303E+16;Agent Sosmed 2;2,35367E+18;choco_hm;;10/01/23 00.05;10/01/23 00.05;10/01/23 06.15;1
3194916;Any channel;4,05257E+16;Agent Sosmed 3;2,35367E+18;choco_hm;;10/01/23 00.06;10/01/23 00.06;10/01/23 08.32;1
3194925;Any channel;4,05257E+16;Agent Socmed 1;2,35367E+18;choco_hm;;10/01/23 00.08;10/01/23 00.08;10/01/23 00.19;1
3194927;Any channel;4,05257E+16;Agent Socmed 1;2,35367E+18;choco_hm;;10/01/23 00.08;10/01/23 00.08;10/01/23 00.22;1
3194939;Any channel;4,05257E+16;Agent Socmed 1;2,35368E+18;choco_hm;;10/01/23 00.13;10/01/23 00.13;10/02/23 11.25;1
3194941;Any channel;4,05257E+16;Agent Socmed 1;2,35367E+18;choco_hm;;10/01/23 00.14;10/01/23 00.14;10/01/23 00.41;1
3194949;Any channel;4,05257E+16;Agent Socmed 1;2,35368E+18;choco_hm;;10/01/23 00.19;10/01/23 00.19;10/01/23 06.42;1
3194961;Any channel;4,05257E+16;Agent Socmed 1;2,35369E+18;choco_hm;;10/01/23 00.25;10/01/23 00.25;10/01/23 00.37;1
3194980;Any channel;4,05257E+16;Agent Socmed 1;2,3537E+17;choco_hm;;10/01/23 00.40;10/01/23 00.40;10/01/23 00.55;1
3194981;Twitter;4,05257E+16;Agent Sosmed 3;2,3537E+17;choco_hm;;10/01/23 00.40;10/01/23 00.40;10/01/23 06.15;1
3194983;Any channel;4,05257E+16;Agent Socmed 1;2,35371E+18;choco_hm;;10/01/23 00.40;10/01/23 00.40;10/01/23 00.42;1
3194984;Any channel;4,05257E+16;Agent Socmed 1;2,3537E+17;choco_hm;;10/01/23 00.40;10/01/23 00.40;10/01/23 00.43;1
3194988;Twitter;4,05257E+16;Agent Sosmed 3;2,35371E+18;choco_hm;;10/01/23 00.47;10/01/23 00.47;10/01/23 16.50;1
3194990;Any channel;4,05257E+16;Agent Socmed 1;2,35371E+18;choco_hm;;10/01/23 00.49;10/01/23 00.49;10/01/23 00.53;1
3194991;Twitter;4,05257E+16;Agent Sosmed 3;2,35371E+18;choco_hm;;10/01/23 00.50;10/01/23 00.50;10/01/23 06.15;1
3194997;Any channel;4,05303E+16;Agent Sosmed 2;2,35371E+18;choco_hm;;10/01/23 00.52;10/01/23 00.52;10/03/23 06.24;1
3194998;Any channel;4,05257E+16;Agent Socmed 1;2,35372E+18;choco_hm;;10/01/23 00.52;10/01/23 00.52;10/01/23 00.53;1
3194999;Any channel;4,05257E+16;Agent Socmed 1;2,35372E+18;choco_hm;;10/01/23 00.52;10/01/23 00.52;10/01/23 00.54;1
3195000;Twitter;4,05303E+16;Agent Sosmed 2;2,35372E+18;choco_hm;;10/01/23 00.51;10/01/23 00.53;10/02/23 10.40;1
3195002;Any channel;4,05257E+16;Agent Socmed 1;2,35371E+18;choco_hm;;10/01/23 00.54;10/01/23 00.54;10/01/23 02.05;1
3195003;Any channel;4,05257E+16;Agent Socmed 1;2,35372E+18;choco_hm;;10/01/23 00.54;10/01/23 00.54;10/01/23 02.05;1
3195006;Any channel;4,05257E+16;Agent Socmed 1;2,35372E+18;choco_hm;;10/01/23 00.56;10/01/23 00.56;10/01/23 02.05;1
3195007;Any channel;4,05257E+16;Agent Socmed 1;2,35372E+18;choco_hm;;10/01/23 00.56;10/01/23 00.56;10/06/23 12.57;1
3195008;Any channel;4,05257E+16;Agent Socmed 1;2,35372E+18;choco_hm;;10/01/23 00.57;10/01/23 00.57;10/01/23 02.09;1
3195010;Any channel;4,05257E+16;Agent Socmed 1;2,35372E+18;choco_hm;;10/01/23 00.59;10/01/23 00.59;10/01/23 01.37;1
3195014;Any channel;4,05257E+16;Agent Sosmed 3;2,35373E+18;choco_hm;;10/01/23 01.04;10/01/23 01.04;10/01/23 08.32;1
3195015;Twitter;4,05303E+16;Agent Sosmed 2;2,35373E+18;choco_hm;;10/01/23 01.07;10/01/23 01.07;10/01/23 03.30;1
3195016;Any channel;4,05257E+16;Agent Sosmed 3;2,35374E+18;choco_hm;;10/01/23 01.08;10/01/23 01.08;10/02/23 15.35;1
